# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.812756  +0.3447
0.1053  -2396.974179  +1.1833
0.1579  -2396.944063  +1.2134
0.2105  -2396.894995  +1.2625
0.2632  -2396.823336  +1.3341
0.3158  -2396.732452  +1.4250
0.3684  -2396.645203  +1.5123
0.4211  -2396.589803  +1.5677
0.4737  -2396.567292  +1.5902
0.5263  -2396.564834  +1.5926
0.5789  -2396.570671  +1.5868
0.6316  -2396.568706  +1.5888
0.6842  -2396.570353  +1.5871
0.7368  -2396.710762  +1.4467
0.7895  -2397.118967  +1.0385
0.8421  -2397.801767  +0.3557
0.8947  -2398.111918  +0.0455
0.9474  -2398.515659  -0.3582
1.0000  -2398.843631  -0.6862
