# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.134111  +0.0670
0.1053  -2398.033147  +0.1680
0.1579  -2397.938278  +0.2628
0.2105  -2397.830446  +0.3707
0.2632  -2397.676453  +0.5246
0.3158  -2397.533241  +0.6679
0.3684  -2397.470880  +0.7302
0.4211  -2397.479925  +0.7212
0.4737  -2397.502666  +0.6984
0.5263  -2397.528169  +0.6729
0.5789  -2397.546381  +0.6547
0.6316  -2397.555277  +0.6458
0.6842  -2397.558270  +0.6428
0.7368  -2397.545285  +0.6558
0.7895  -2397.553208  +0.6479
0.8421  -2397.580555  +0.6205
0.8947  -2398.080028  +0.1211
0.9474  -2398.765243  -0.5641
1.0000  -2399.269649  -1.0685
