# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.849873  +0.0278
0.1053  -2397.789356  +0.0883
0.1579  -2397.696700  +0.1810
0.2105  -2397.604946  +0.2727
0.2632  -2397.561602  +0.3161
0.3158  -2397.526436  +0.3512
0.3684  -2397.507111  +0.3705
0.4211  -2397.500495  +0.3772
0.4737  -2397.486374  +0.3913
0.5263  -2397.468257  +0.4094
0.5789  -2397.458151  +0.4195
0.6316  -2397.459663  +0.4180
0.6842  -2397.464365  +0.4133
0.7368  -2397.471813  +0.4058
0.7895  -2397.480502  +0.3972
0.8421  -2397.488876  +0.3888
0.8947  -2397.539942  +0.3377
0.9474  -2398.162846  -0.2852
1.0000  -2398.941853  -1.0642
