# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.895516  +0.0000
0.0526  -2397.842458  +0.0531
0.1053  -2397.748506  +0.1470
0.1579  -2397.622054  +0.2735
0.2105  -2397.527879  +0.3676
0.2632  -2397.470590  +0.4249
0.3158  -2397.416906  +0.4786
0.3684  -2397.370203  +0.5253
0.4211  -2397.377448  +0.5181
0.4737  -2397.388816  +0.5067
0.5263  -2397.395440  +0.5001
0.5789  -2397.405531  +0.4900
0.6316  -2397.420400  +0.4751
0.6842  -2397.429075  +0.4664
0.7368  -2397.442341  +0.4532
0.7895  -2397.463481  +0.4320
0.8421  -2397.494554  +0.4010
0.8947  -2397.488894  +0.4066
0.9474  -2398.243709  -0.3482
1.0000  -2398.678723  -0.7832
