# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.864412  +0.0206
0.1053  -2397.841248  +0.0438
0.1579  -2397.778268  +0.1068
0.2105  -2397.648010  +0.2370
0.2632  -2397.505674  +0.3793
0.3158  -2397.385972  +0.4991
0.3684  -2397.327588  +0.5574
0.4211  -2397.356781  +0.5282
0.4737  -2397.405751  +0.4793
0.5263  -2397.445292  +0.4397
0.5789  -2397.487753  +0.3973
0.6316  -2397.526340  +0.3587
0.6842  -2397.546478  +0.3385
0.7368  -2397.567012  +0.3180
0.7895  -2397.780081  +0.1049
0.8421  -2398.112727  -0.2277
0.8947  -2398.360364  -0.4753
0.9474  -2398.778078  -0.8931
1.0000  -2398.307805  -0.4228
