# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.836175  +0.0267
0.1053  -2397.728609  +0.1343
0.1579  -2397.614668  +0.2482
0.2105  -2397.570906  +0.2920
0.2632  -2397.529642  +0.3332
0.3158  -2397.500806  +0.3621
0.3684  -2397.481646  +0.3812
0.4211  -2397.469632  +0.3932
0.4737  -2397.457095  +0.4058
0.5263  -2397.440388  +0.4225
0.5789  -2397.435290  +0.4276
0.6316  -2397.449233  +0.4136
0.6842  -2397.472711  +0.3902
0.7368  -2397.515372  +0.3475
0.7895  -2397.619548  +0.2433
0.8421  -2397.714864  +0.1480
0.8947  -2397.686837  +0.1760
0.9474  -2398.029632  -0.1668
1.0000  -2398.788179  -0.9253
