# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.124965  +0.0761
0.1053  -2398.061501  +0.1396
0.1579  -2398.044297  +0.1568
0.2105  -2398.033782  +0.1673
0.2632  -2397.997551  +0.2035
0.3158  -2397.955240  +0.2459
0.3684  -2397.900397  +0.3007
0.4211  -2397.840912  +0.3602
0.4737  -2397.816947  +0.3842
0.5263  -2397.819405  +0.3817
0.5789  -2397.826927  +0.3742
0.6316  -2397.838880  +0.3622
0.6842  -2397.853012  +0.3481
0.7368  -2397.866355  +0.3347
0.7895  -2397.876727  +0.3244
0.8421  -2397.909730  +0.2914
0.8947  -2398.228576  -0.0275
0.9474  -2399.283511  -1.0824
1.0000  -2399.271348  -1.0702
