# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.784697  +0.0782
0.1053  -2397.641418  +0.2215
0.1579  -2397.581368  +0.2815
0.2105  -2397.538605  +0.3243
0.2632  -2397.503775  +0.3591
0.3158  -2397.482588  +0.3803
0.3684  -2397.468520  +0.3944
0.4211  -2397.450006  +0.4129
0.4737  -2397.434654  +0.4282
0.5263  -2397.440150  +0.4227
0.5789  -2397.453982  +0.4089
0.6316  -2397.470469  +0.3924
0.6842  -2397.488729  +0.3741
0.7368  -2397.518793  +0.3441
0.7895  -2397.560070  +0.3028
0.8421  -2397.598765  +0.2641
0.8947  -2397.626580  +0.2363
0.9474  -2397.643524  +0.2194
1.0000  -2398.395093  -0.5322
