# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.0175315
502000 0.073007
503000 0.079436
504000 0.0854216
505000 0.107609
506000 0.0344909
507000 0.0339329
508000 0.0247298
509000 0.0449309
510000 0.0187104
511000 0.0542459
512000 0.0633093
513000 0.0515203
514000 0.0933145
515000 0.0523868
516000 0.0244269
517000 0.0159515
518000 0.0222458
519000 0.0585131
520000 0.0232475
521000 0.0526708
522000 0.0399593
523000 0.012512
524000 0.060332
525000 0.00828226
526000 0.115864
527000 0.058441
528000 0.0358059
529000 0.061644
530000 0.0687812
531000 0.11379
532000 0.112056
533000 0.10987
534000 0.0906603
535000 0.0283579
536000 0.0155958
537000 0.093957
538000 0.0847866
539000 0.0413541
540000 0.00574842
541000 0.00705664
542000 0.0444588
543000 0.0367381
544000 0.0424907
545000 0.0852971
546000 0.00311755
547000 0.0930447
548000 0.0491013
549000 0.0268412
550000 0.0705217
551000 0.00709087
552000 0.0230768
553000 0.0501626
554000 0.204516
555000 0.0654335
556000 0.0186579
557000 0.0281182
558000 0.0188165
559000 0.0182663
560000 0.0721136
561000 0.153785
562000 0.0160112
563000 0.0385894
564000 0.0421529
565000 0.0244348
566000 0.0763903
567000 0.14932
568000 0.0434161
569000 0.0921908
570000 0.17512
571000 0.046662
572000 0.102848
573000 0.248586
574000 0.0688175
575000 0.0343521
576000 0.106709
577000 0.0884567
578000 0.103962
579000 0.128302
580000 0.0646611
581000 0.149793
582000 0.0757821
583000 0.167985
584000 0.128047
585000 0.00465037
586000 0.064075
587000 0.203695
588000 0.111342
589000 0.0266927
590000 0.065952
591000 0.0922962
592000 0.0147849
593000 0.0107911
594000 0.0436404
595000 0.0216621
596000 0.0266606
597000 0.0619439
598000 0.0147487
599000 0.215541
600000 0.139052
601000 0.0192294
602000 0.103411
603000 0.0951654
604000 0.0438742
605000 0.00483682
606000 0.0373183
607000 0.139631
608000 0.0823414
609000 0.0573335
610000 0.094451
611000 0.0899689
612000 0.0379449
613000 0.0273012
614000 0.0891196
615000 0.0434683
616000 0.0643935
617000 0.0727668
618000 0.00613829
619000 0.100339
620000 0.0920873
621000 0.113831
622000 0.0759332
623000 0.131173
624000 0.0556913
625000 0.171471
626000 0.0122906
627000 0.125787
628000 0.0159083
629000 0.170081
630000 0.0411887
631000 0.0231318
632000 0.0704193
633000 0.0269191
634000 0.0128931
635000 0.0722331
636000 0.0383211
637000 0.0245478
638000 0.0376283
639000 0.151936
640000 0.0149736
641000 0.0560124
642000 0.0735951
643000 0.0648495
644000 0.078095
645000 0.063601
646000 0.0581328
647000 0.0513093
648000 0.0724219
649000 0.0190562
650000 0.0139185
651000 0.00411451
652000 0.0756895
653000 0.0695682
654000 0.0416088
655000 0.102924
656000 0.0400271
657000 0.0559982
658000 0.0322619
659000 0.0732726
660000 0.151196
661000 0.0877478
662000 0.177004
663000 0.0386384
664000 0.0457345
665000 0.0759861
666000 0.147924
667000 0.00987049
668000 0.0786348
669000 0.059316
670000 0.0185505
671000 0.0185847
672000 0.0933158
673000 0.105234
674000 0.0614063
675000 0.00379957
676000 0.0612799
677000 0.0327217
678000 0.00157643
679000 0.0776988
680000 0.106068
681000 0.0710756
682000 0.0801251
683000 0.0909512
684000 0.050402
685000 0.090309
686000 0.0713811
687000 0.0404088
688000 0.00998482
689000 0.0531396
690000 0.0256214
691000 0.0472195
692000 0.151379
693000 0.0672105
694000 0.0339285
695000 0.0209987
696000 0.0182084
697000 0.0576328
698000 0.0745825
699000 0.0436576
700000 0.098496
701000 0.0159186
702000 0.099025
703000 0.0511796
704000 0.0207414
705000 0.0683985
706000 0.0438472
707000 0.0248389
708000 0.110676
709000 0.133245
710000 0.0510607
711000 0.0243926
712000 0.0592408
713000 0.0262956
714000 0.0880008
715000 0.0366221
716000 0.0196464
717000 0.0524782
718000 0.175386
719000 0.0268683
720000 0.00278981
721000 0.022697
722000 0.0253306
723000 0.0241573
724000 0.0143486
725000 0.0280589
726000 0.0204615
727000 0.0481963
728000 0.124625
729000 0.0176533
730000 0.0740233
731000 0.0936629
732000 0.0382773
733000 0.00379825
734000 0.0722234
735000 0.00927662
736000 0.0459398
737000 0.00998855
738000 0.115174
739000 0.0190573
740000 0.032727
741000 0.0108367
742000 0.0313449
743000 0.0312587
744000 0.0222959
745000 0.0263149
746000 0.0730884
747000 0.0370831
748000 0.0130319
749000 0.0278058
750000 0.0210201
751000 0.0271316
752000 0.0176215
753000 0.0264837
754000 0.0226021
755000 0.0373632
