# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.623636
502000 3.76212
503000 1.56537
504000 4.5043
505000 1.77051
506000 3.51353
507000 3.03303
508000 2.70327
509000 3.56743
510000 3.47999
511000 2.25813
512000 2.83505
513000 5.09826
514000 3.03879
515000 3.38771
516000 3.17623
517000 3.32444
518000 3.69823
519000 4.1825
520000 2.31641
521000 3.42964
522000 3.5822
523000 3.29527
524000 2.83721
525000 3.03184
526000 3.32139
527000 0.424907
528000 0.134702
529000 0.190547
530000 0.805483
531000 0.190738
532000 0.123964
533000 0.899287
534000 0.191475
535000 0.431754
536000 0.373469
537000 0.793813
538000 0.588533
539000 0.477848
540000 0.462271
541000 0.108953
542000 0.565875
543000 0.180516
544000 0.505039
545000 0.52951
546000 0.543346
547000 0.284402
548000 0.437644
549000 0.250837
550000 0.574818
551000 0.69768
552000 0.764258
553000 0.563406
554000 0.808088
555000 0.307753
556000 0.266969
557000 0.418493
558000 0.435404
559000 0.632658
560000 3.28632
561000 2.00201
562000 0.543411
563000 0.939661
564000 0.221288
565000 4.31827
566000 9.07742
567000 2.97713
568000 1.27738
569000 2.66299
570000 0.493116
571000 2.45443
572000 0.138
573000 6.62246
574000 2.96718
575000 0.441396
576000 1.01429
577000 1.63483
578000 1.97028
579000 0.00971769
580000 1.0812
581000 1.36247
582000 4.13884
583000 2.28326
584000 0.183883
585000 0.0710382
586000 0.664302
587000 1.36209
588000 1.20379
589000 1.48425
590000 4.62021
591000 3.77239
592000 2.83074
593000 0.349247
594000 0.679659
595000 1.90288
596000 0.0731318
597000 0.484071
598000 2.39682
599000 0.829357
600000 1.64973
601000 0.283352
602000 1.74389
603000 1.03283
604000 0.607368
605000 2.36174
606000 8.96685
607000 2.58118
608000 10.9082
609000 2.40307
610000 3.84209
611000 1.85955
612000 0.509379
613000 0.414524
614000 0.262611
615000 0.366592
616000 2.00108
617000 0.635703
618000 2.41842
619000 0.563642
620000 0.19826
621000 0.90987
622000 0.387176
623000 1.43083
624000 0.363387
625000 6.96966
626000 0.395133
627000 0.0575268
628000 0.268528
629000 0.160423
630000 2.17549
631000 0.839222
632000 0.843409
633000 1.32807
634000 3.90948
635000 0.910947
636000 2.49336
637000 5.36163
638000 1.41303
639000 2.28034
640000 0.154494
641000 1.13465
642000 0.69097
643000 0.769796
644000 6.16492
645000 2.44098
646000 2.86588
647000 0.841516
648000 1.017
649000 0.366324
650000 0.325967
651000 0.565486
652000 0.575163
653000 1.34869
654000 0.621263
655000 5.49363
656000 8.19933
657000 0.26328
658000 4.59806
659000 4.23961
660000 4.95054
661000 3.75601
662000 5.52716
663000 5.35173
664000 5.27354
665000 4.71364
666000 4.54938
667000 1.80463
668000 0.129954
669000 3.92857
670000 0.0237937
671000 0.813105
672000 3.93836
673000 0.0715938
674000 0.416588
675000 0.54813
676000 0.873276
677000 0.222764
678000 0.460084
679000 0.385441
680000 2.5816
681000 1.68399
682000 3.18036
683000 3.20159
684000 3.11837
685000 2.10815
686000 3.58459
687000 1.52968
688000 3.3761
689000 0.300531
690000 0.351314
691000 0.240884
692000 4.29298
693000 0.43369
694000 0.640585
695000 0.55956
696000 3.56788
697000 6.11001
698000 2.74824
699000 0.281963
700000 5.46955
701000 2.52079
702000 0.0540062
703000 4.29497
704000 2.01027
705000 2.53356
706000 4.17687
707000 2.00115
708000 2.69966
709000 2.19242
710000 3.00325
711000 4.03086
712000 3.22298
713000 3.68207
714000 4.00137
715000 3.36905
716000 0.356985
717000 0.855229
718000 0.267411
719000 0.287209
720000 0.370351
721000 2.48466
722000 1.17683
723000 5.42335
724000 2.52081
725000 0.292612
726000 1.12752
727000 0.410089
728000 0.0827389
729000 0.374617
730000 1.08517
731000 0.614092
732000 0.80157
733000 2.40763
734000 0.585832
735000 0.595803
736000 0.872831
737000 0.494351
738000 0.490535
739000 2.17839
740000 0.381774
741000 2.97967
742000 0.585243
743000 4.05967
744000 4.41399
745000 2.49571
746000 3.33437
747000 1.55929
748000 2.92455
749000 2.38225
750000 2.35336
751000 1.88688
752000 3.94368
753000 1.41379
754000 9.87899
755000 8.76065
756000 3.88173
757000 5.49251
758000 5.7137
759000 3.27727
760000 4.45408
761000 0.4478
762000 0.399572
763000 0.610314
764000 1.20644
765000 3.74554
766000 1.91498
767000 0.574913
768000 0.0571439
769000 0.033231
770000 3.19003
771000 0.242562
772000 2.99569
773000 5.13526
774000 3.44722
775000 0.904486
776000 0.780784
777000 0.698272
778000 0.236405
779000 1.54128
780000 0.673005
781000 0.201753
782000 0.376546
783000 2.61156
784000 0.354871
785000 0.00399913
786000 0.499532
787000 0.349645
788000 0.669706
789000 1.12004
790000 1.73952
791000 0.130652
792000 7.05984
793000 4.21874
794000 0.400567
795000 3.13304
796000 2.0074
797000 2.79132
798000 0.971723
799000 2.87869
800000 2.34302
801000 2.25005
802000 2.32825
803000 1.30186
804000 2.52172
805000 3.05104
806000 0.567388
807000 1.53738
808000 0.248572
809000 1.14715
810000 0.564261
811000 3.41462
812000 0.233084
813000 0.259792
814000 0.916292
815000 0.273513
816000 0.823419
817000 0.394685
818000 1.17118
819000 1.09922
820000 0.490392
821000 0.307691
822000 1.30366
823000 2.7573
824000 0.517556
825000 0.42642
826000 0.841703
827000 0.880777
828000 0.300071
829000 0.471322
830000 0.887361
831000 6.31948
832000 5.86051
833000 4.00392
834000 3.4546
835000 5.86729
836000 4.51717
837000 2.35232
838000 1.33556
839000 0.84993
840000 0.332485
841000 1.58106
842000 0.230156
843000 5.00635
844000 4.00236
845000 0.548853
846000 0.164699
847000 0.569382
848000 0.174221
849000 0.388177
850000 3.1017
851000 0.334947
852000 0.419346
853000 0.704515
854000 0.179641
855000 0.323772
856000 0.205515
857000 1.70049
858000 0.298547
859000 0.746848
860000 3.29109
861000 3.05802
862000 3.04847
863000 1.84665
864000 2.0605
865000 2.2005
866000 2.87932
867000 1.15419
868000 1.32419
869000 1.62445
870000 3.01018
871000 3.92592
872000 2.01271
873000 1.98985
874000 3.7872
875000 3.20421
876000 3.22975
877000 6.02074
878000 6.40976
879000 2.4681
880000 4.87351
881000 2.43617
882000 4.38185
883000 1.49725
884000 3.4758
885000 2.96883
886000 3.59688
887000 2.31531
888000 4.98692
889000 7.70958
890000 0.050748
891000 0.876978
892000 0.663032
893000 0.22464
894000 0.570748
895000 0.655617
896000 0.158226
897000 1.27694
898000 0.801596
899000 0.241272
900000 6.30328
901000 4.85068
902000 0.0498733
903000 1.22471
904000 0.222256
905000 0.894707
906000 0.45902
907000 2.68606
908000 1.3611
909000 0.444165
910000 0.9381
911000 0.0647352
912000 1.02115
913000 1.4396
914000 0.352611
915000 0.52276
916000 0.0509618
917000 2.11518
918000 1.39773
919000 0.942253
920000 0.155296
921000 0.570983
922000 2.01613
923000 2.42282
924000 2.72319
925000 2.48585
926000 2.68642
927000 2.37605
928000 1.73257
929000 3.30202
930000 2.85097
931000 2.825
932000 3.17483
933000 3.24382
934000 2.37601
935000 2.11859
936000 3.39753
937000 2.80029
938000 0.156759
939000 0.676364
940000 1.68431
941000 0.323644
942000 0.299529
943000 0.861348
944000 0.174117
945000 0.705188
946000 0.501305
947000 0.518909
948000 4.2155
949000 2.28561
950000 0.892967
951000 0.705212
952000 0.500527
953000 0.588545
954000 2.95023
955000 2.85904
956000 1.83876
957000 1.49785
958000 1.21169
959000 0.377064
960000 0.518148
961000 0.383126
962000 0.733228
963000 0.43051
964000 0.46337
965000 0.399619
966000 0.239226
967000 0.364507
968000 1.67754
969000 0.738899
970000 0.408538
971000 0.233258
972000 0.301732
973000 0.475446
974000 1.04811
975000 2.49663
976000 1.10501
977000 3.79552
978000 2.69884
979000 0.829536
980000 0.805639
981000 0.50561
982000 0.324096
983000 0.242405
984000 0.201092
985000 2.66711
986000 0.3907
987000 1.15979
988000 2.61212
989000 1.6455
990000 0.54696
991000 1.26638
992000 0.877305
993000 0.448061
994000 0.504742
995000 0.260628
996000 3.02327
997000 0.767234
998000 0.416619
999000 0.528323
1000000 1.91485
1001000 4.96417
1002000 0.333876
1003000 0.270876
1004000 2.55605
1005000 0.351122
1006000 0.658593
1007000 1.86136
1008000 1.49569
1009000 0.657488
1010000 0.777028
1011000 0.252576
1012000 0.740233
1013000 0.779805
1014000 1.66266
1015000 0.926205
1016000 3.19753
1017000 2.45381
1018000 2.29734
1019000 0.501627
1020000 0.171823
1021000 0.683872
1022000 1.14508
1023000 0.359653
1024000 0.1846
1025000 0.455508
1026000 0.972869
1027000 0.690468
1028000 0.663999
1029000 1.49995
1030000 0.542178
1031000 1.11376
1032000 0.702855
1033000 2.72922
1034000 0.124594
1035000 2.83172
1036000 0.530941
1037000 0.496212
1038000 8.81062
1039000 5.05221
1040000 3.29186
1041000 0.584753
1042000 1.00146
1043000 0.439264
1044000 3.21447
1045000 0.804609
1046000 2.75282
1047000 2.13817
1048000 0.327244
1049000 1.09729
1050000 0.753153
1051000 0.67312
1052000 1.97473
1053000 1.24093
1054000 0.509077
1055000 0.165195
1056000 0.50733
1057000 0.270583
1058000 0.935102
1059000 0.324644
1060000 1.68174
1061000 0.342816
1062000 0.465891
1063000 2.73883
1064000 0.49375
1065000 0.633214
1066000 0.524161
1067000 1.3942
1068000 0.643844
1069000 0.717644
1070000 0.672457
1071000 0.644517
1072000 5.5529
1073000 1.16944
1074000 2.15398
1075000 0.864241
1076000 2.61912
1077000 3.40585
1078000 1.28929
1079000 0.235362
1080000 2.4841
1081000 1.17083
1082000 0.427799
1083000 0.372575
1084000 0.543499
1085000 0.628785
1086000 0.309178
1087000 2.73431
1088000 0.793868
1089000 1.06815
1090000 0.821309
1091000 0.594572
1092000 7.82938
1093000 2.62174
1094000 5.29807
1095000 0.263417
1096000 2.03573
1097000 2.51722
1098000 3.44229
1099000 2.70603
1100000 2.24165
1101000 3.42139
1102000 3.58958
1103000 2.82604
1104000 0.889266
1105000 0.275043
1106000 0.229835
1107000 0.873222
1108000 2.02177
1109000 0.353567
1110000 3.34912
1111000 0.559201
1112000 0.731083
1113000 0.557579
1114000 0.552649
1115000 1.82087
1116000 0.520951
1117000 0.418206
