Hastelloy N (111) H2 Adsorption Energies
==================================================
E(H2 gas)     = -6.790499 eV
E(clean slab) = -2390.925227 eV

Site               E(slab+H2) eV     E_ads eV
----------------------------------------------
Top-B               -2398.201099      -0.4854
FCC Hollow          -2398.195374      -0.4796
Top-C               -2398.157466      -0.4417
Bridge              -2398.157466      -0.4417
Top-Mo              -2398.104863      -0.3891
Top-Fe              -2397.895516      -0.1798
HCP Hollow          -2397.885022      -0.1693
Top-Ni              -2397.877656      -0.1619
Top-Cr              -2397.862877      -0.1472
