# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.751189  +0.1117
0.1053  -2397.620548  +0.2423
0.1579  -2397.572139  +0.2907
0.2105  -2397.527228  +0.3356
0.2632  -2397.497579  +0.3653
0.3158  -2397.477583  +0.3853
0.3684  -2397.464952  +0.3979
0.4211  -2397.447554  +0.4153
0.4737  -2397.434910  +0.4280
0.5263  -2397.440292  +0.4226
0.5789  -2397.453395  +0.4095
0.6316  -2397.468833  +0.3940
0.6842  -2397.483727  +0.3791
0.7368  -2397.501169  +0.3617
0.7895  -2397.520329  +0.3425
0.8421  -2397.535721  +0.3272
0.8947  -2397.545013  +0.3179
0.9474  -2398.437770  -0.5749
1.0000  -2398.940636  -1.0778
