# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.0709902
502000 0.128421
503000 0.127372
504000 0.0368148
505000 0.281665
506000 0.687382
507000 1.03038
508000 0.58111
509000 1.12649
510000 0.856656
511000 0.705613
512000 0.292976
513000 1.57012
514000 0.663975
515000 0.671452
516000 0.23513
517000 0.0624315
518000 0.585338
519000 0.717706
520000 0.703399
521000 0.752831
522000 0.608761
523000 0.493512
524000 0.398345
525000 0.494354
526000 0.284207
527000 0.937906
528000 0.676183
529000 0.558708
530000 0.143279
531000 0.91868
532000 0.544988
533000 0.527542
534000 0.168983
535000 0.992694
536000 0.546685
537000 0.234921
538000 0.292868
539000 0.162401
540000 0.769689
541000 0.172494
542000 0.463388
543000 0.456338
544000 1.53613
545000 0.53025
546000 1.91732
547000 0.345111
548000 0.70961
549000 0.533029
550000 0.261474
551000 0.773264
552000 0.754611
553000 0.153626
554000 0.542095
555000 1.07112
556000 0.268317
557000 0.277897
558000 0.697476
559000 0.614385
560000 0.385132
561000 0.356335
562000 0.707479
563000 0.322495
564000 0.90239
565000 0.768833
566000 0.678642
567000 0.411891
568000 0.406283
569000 0.51974
570000 0.701531
571000 0.129624
572000 1.13276
573000 0.23762
574000 0.38187
575000 0.747974
576000 0.836642
577000 0.809011
578000 0.146466
579000 0.421854
580000 0.292001
581000 0.846927
582000 0.518262
583000 0.494811
584000 0.342732
585000 0.551458
586000 0.359013
587000 0.303765
588000 0.0877332
589000 0.712146
590000 0.119881
591000 0.130426
592000 0.846031
593000 0.236778
594000 0.445696
595000 0.154958
596000 0.632982
597000 0.411343
598000 0.26419
599000 0.47609
600000 1.9442
601000 0.255384
602000 0.747363
603000 0.844615
604000 0.410686
605000 1.39947
606000 0.418013
607000 0.551401
608000 0.655892
609000 0.71501
610000 0.300243
611000 0.719209
612000 0.463099
613000 0.812027
614000 3.84142
615000 5.08728
616000 0.452377
617000 0.157945
618000 0.783677
619000 1.03571
620000 0.751888
621000 0.11736
622000 0.324359
623000 0.341484
624000 0.157824
625000 0.0473006
626000 0.375396
627000 1.01506
628000 0.402331
629000 0.142291
630000 1.19804
631000 0.442541
632000 0.135819
633000 0.573451
634000 0.0743512
635000 0.814381
636000 0.163663
637000 0.525496
638000 0.909088
639000 0.133141
640000 0.602551
641000 0.256996
642000 0.674937
