Node: d1028  Start: Mon Jun 22 04:36:05 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0622 04:36:37.492000 1079092 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823087 -0.0045823087 -0.0045823087) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.115 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
         0   0              500           -3250.6152      32.250406      6042.3538      5700.9619      17.864165      17.864165      17.864165    
       100   0.05           156.21126     -3228.4388      10.075753      22442.449      5700.9645      17.864167      17.864167      17.864167    
       200   0.1            240.05204     -3233.8469      15.483551      18373.949      5700.9743      17.864178      17.864178      17.864178    
       300   0.15           238.02172     -3233.7166      15.352594      16790.333      5700.9901      17.864194      17.864194      17.864194    
       400   0.2            258.58261     -3235.0437      16.678788      15789.204      5701.0117      17.864217      17.864217      17.864217    
       500   0.25           260.65852     -3235.1784      16.812686      17446.823      5701.0392      17.864245      17.864245      17.864245    
       600   0.3            254.28333     -3234.7682      16.401482      16549.978      5701.0728      17.86428       17.86428       17.86428     
       700   0.35           255.57067     -3234.8522      16.484516      15146.795      5701.1121      17.864321      17.864321      17.864321    
       800   0.4            257.58168     -3234.9833      16.614228      18389.79       5701.1568      17.864368      17.864368      17.864368    
       900   0.45           256.47158     -3234.9131      16.542625      16266.604      5701.2076      17.864421      17.864421      17.864421    
      1000   0.5            256.7465      -3234.9323      16.560358      15653.934      5701.2641      17.86448       17.86448       17.86448     
      1100   0.55           262.99872     -3235.3375      16.963631      15721.084      5701.3262      17.864545      17.864545      17.864545    
      1200   0.6            254.87513     -3234.8151      16.439653      16962.896      5701.3939      17.864616      17.864616      17.864616    
      1300   0.65           273.12209     -3235.9941      17.616597      17323.815      5701.4674      17.864693      17.864693      17.864693    
      1400   0.7            250.24334     -3234.5204      16.140899      17937.873      5701.547       17.864776      17.864776      17.864776    
      1500   0.75           260.16322     -3235.1622      16.780739      16522.028      5701.6329      17.864865      17.864865      17.864865    
      1600   0.8            250.74631     -3234.557       16.173341      17274.82       5701.7247      17.864961      17.864961      17.864961    
