Node: d1028  Start: Mon Jun 22 05:49:13 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0622 05:49:44.562000 1131491 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823087 -0.0045823087 -0.0045823087) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.021 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
         0   0              800           -3250.6152      51.60065       9667.7661      5700.9619      17.864165      17.864165      17.864165    
       100   0.05           261.2815      -3215.8649      16.852869      35095.447      5700.9661      17.864169      17.864169      17.864169    
       200   0.1            381.53449     -3223.6219      24.609285      29316.938      5700.9816      17.864185      17.864185      17.864185    
       300   0.15           384.23506     -3223.7977      24.783474      26860.383      5701.0068      17.864212      17.864212      17.864212    
       400   0.2            411.03291     -3225.5281      26.511956      26234.806      5701.0411      17.864247      17.864247      17.864247    
       500   0.25           416.43302     -3225.8785      26.860268      30271.954      5701.0853      17.864294      17.864294      17.864294    
       600   0.3            407.88036     -3225.3292      26.308614      27669.126      5701.14        17.864351      17.864351      17.864351    
       700   0.35           408.7155      -3225.3857      26.362482      27275.859      5701.2045      17.864418      17.864418      17.864418    
       800   0.4            412.60892     -3225.6401      26.613611      29408.594      5701.2786      17.864495      17.864495      17.864495    
       900   0.45           409.10182     -3225.4172      26.387399      26747.856      5701.3629      17.864583      17.864583      17.864583    
      1000   0.5            423.24306     -3226.3331      27.299521      27141.158      5701.4569      17.864682      17.864682      17.864682    
      1100   0.55           410.28242     -3225.5008      26.463549      26252.45       5701.5607      17.86479       17.86479       17.86479     
      1200   0.6            393.65567     -3224.4323      25.391111      27775.352      5701.6738      17.864908      17.864908      17.864908    
      1300   0.65           427.84583     -3226.6422      27.596404      27923.135      5701.7965      17.865036      17.865036      17.865036    
      1400   0.7            393.17278     -3224.4103      25.359964      29491.737      5701.9291      17.865175      17.865175      17.865175    
      1500   0.75           429.94308     -3226.787       27.731678      26247.786      5702.0717      17.865324      17.865324      17.865324    
      1600   0.8            396.60857     -3224.6418      25.581575      27900.126      5702.224       17.865483      17.865483      17.865483    
      1700   0.85           418.80496     -3226.079       27.01326       26824.143      5702.3862      17.865652      17.865652      17.865652    
      1800   0.9            396.74684     -3224.6617      25.590493      29615.104      5702.5579      17.865832      17.865832      17.865832    
      1900   0.95           411.2689      -3225.6043      26.527178      27046.285      5702.7398      17.866022      17.866022      17.866022    
      2000   1              411.12057     -3225.6006      26.517611      26786.372      5702.9315      17.866222      17.866222      17.866222    
      2100   1.05           406.36875     -3225.3003      26.211114      29022.513      5703.1328      17.866432      17.866432      17.866432    
      2200   1.1            401.69226     -3225.0051      25.909477      26881.434      5703.344       17.866652      17.866652      17.866652    
      2300   1.15           412.59712     -3225.715       26.612849      25755.897      5703.5646      17.866883      17.866883      17.866883    
      2400   1.2            403.02104     -3225.1038      25.995185      26622.581      5703.7945      17.867123      17.867123      17.867123    
      2500   1.25           415.39776     -3225.909       26.793493      26093.973      5704.0336      17.867373      17.867373      17.867373    
      2600   1.3            405.94657     -3225.3064      26.183884      27186.226      5704.2821      17.867632      17.867632      17.867632    
      2700   1.35           404.59955     -3225.2268      26.097         26742.776      5704.5401      17.867901      17.867901      17.867901    
      2800   1.4            400.48613     -3224.9689      25.83168       27256.99       5704.8072      17.86818       17.86818       17.86818     
      2900   1.45           419.70369     -3226.2163      27.071229      26393.087      5705.0841      17.868469      17.868469      17.868469    
      3000   1.5            426.03673     -3226.6327      27.479715      26301.33       5705.3706      17.868768      17.868768      17.868768    
      3100   1.55           407.12602     -3225.4209      26.259959      25977.992      5705.6664      17.869077      17.869077      17.869077    
      3200   1.6            415.76679     -3225.9864      26.817296      25600.821      5705.9717      17.869396      17.869396      17.869396    
      3300   1.65           400.46041     -3225.0073      25.830022      27663.435      5706.2862      17.869724      17.869724      17.869724    
      3400   1.7            404.18015     -3225.256       26.069948      26248.642      5706.6103      17.870063      17.870063      17.870063    
      3500   1.75           418.06414     -3226.16        26.965477      25381.232      5706.9437      17.870411      17.870411      17.870411    
      3600   1.8            401.46515     -3225.0983      25.894828      28488.034      5707.2864      17.870768      17.870768      17.870768    
      3700   1.85           423.07172     -3226.5014      27.288469      26287.338      5707.6389      17.871136      17.871136      17.871136    
      3800   1.9            399.74547     -3225.006       25.783907      26678.77       5708.0008      17.871514      17.871514      17.871514    
      3900   1.95           433.03033     -3227.1624      27.930808      23730.548      5708.3721      17.871901      17.871901      17.871901    
      4000   2              409.51162     -3225.6548      26.413832      26347.814      5708.7522      17.872298      17.872298      17.872298    
      4100   2.05           427.57983     -3226.8296      27.579246      23596.879      5709.1417      17.872704      17.872704      17.872704    
      4200   2.1            394.20407     -3224.6863      25.426483      26079.275      5709.5399      17.87312       17.87312       17.87312     
      4300   2.15           410.436       -3225.7429      26.473456      23248.195      5709.9471      17.873545      17.873545      17.873545    
      4400   2.2            414.07469     -3225.9873      26.708154      26899.565      5710.3629      17.873979      17.873979      17.873979    
      4500   2.25           398.08409     -3224.9665      25.676747      27024.477      5710.7881      17.874422      17.874422      17.874422    
      4600   2.3            412.41962     -3225.9018      26.6014        26302.758      5711.2229      17.874876      17.874876      17.874876    
      4700   2.35           402.86913     -3225.2965      25.985386      24897.963      5711.667       17.875339      17.875339      17.875339    
      4800   2.4            419.02992     -3226.3489      27.027771      22087.79       5712.12        17.875812      17.875812      17.875812    
      4900   2.45           399.65732     -3225.1093      25.778222      24550.981      5712.5812      17.876293      17.876293      17.876293    
      5000   2.5            399.68178     -3225.1209      25.779799      22104.658      5713.0508      17.876783      17.876783      17.876783    
      5100   2.55           396.0613      -3224.8977      25.546276      24323.337      5713.5283      17.877281      17.877281      17.877281    
      5200   2.6            396.61962     -3224.9441      25.582288      24108.675      5714.014       17.877787      17.877787      17.877787    
      5300   2.65           422.96098     -3226.6545      27.281327      23323.73       5714.5083      17.878303      17.878303      17.878303    
      5400   2.7            395.52411     -3224.8954      25.511627      23721.933      5715.0111      17.878827      17.878827      17.878827    
      5500   2.75           395.8327      -3224.9261      25.531531      24657.917      5715.5222      17.87936       17.87936       17.87936     
      5600   2.8            400.36388     -3225.2297      25.823795      23548.8        5716.0417      17.879902      17.879902      17.879902    
      5700   2.85           412.57427     -3226.0286      26.611376      22841.856      5716.5694      17.880452      17.880452      17.880452    
      5800   2.9            405.01812     -3225.5524      26.123998      22631.299      5717.1053      17.881011      17.881011      17.881011    
