Node: d1028  Start: Mon Jun 22 05:07:08 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0622 05:07:43.990000 1102043 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823087 -0.0045823087 -0.0045823087) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.021 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
      4400   2.2            367.05318     -3229.3497      23.675229      21501.221      5709.2135      17.872779      17.872779      17.872779    
      4500   2.25           347.26739     -3228.0811      22.399029      22209.263      5709.5854      17.873167      17.873167      17.873167    
      4600   2.3            362.33313     -3229.061       23.370781      22500.107      5709.9652      17.873564      17.873564      17.873564    
      4700   2.35           354.19295     -3228.544       22.845733      20197.43       5710.3527      17.873968      17.873968      17.873968    
      4800   2.4            358.23596     -3228.8129      23.10651       21072.155      5710.7478      17.87438       17.87438       17.87438     
      4900   2.45           362.14385     -3229.0729      23.358573      19865.439      5711.1503      17.8748        17.8748        17.8748      
      5000   2.5            352.23062     -3228.4414      22.719161      18804.457      5711.5599      17.875228      17.875228      17.875228    
      5100   2.55           355.97286     -3228.6909      22.960539      22407.765      5711.9764      17.875662      17.875662      17.875662    
      5200   2.6            366.06397     -3229.3504      23.611423      20320.169      5712.4004      17.876104      17.876104      17.876104    
      5300   2.65           352.08405     -3228.4571      22.709707      20681.842      5712.8318      17.876554      17.876554      17.876554    
      5400   2.7            352.97746     -3228.5234      22.767333      21495.483      5713.2705      17.877012      17.877012      17.877012    
      5500   2.75           360.83659     -3229.039       23.274253      19877.467      5713.7168      17.877477      17.877477      17.877477    
      5600   2.8            359.27273     -3228.9465      23.173383      19382.637      5714.1701      17.87795       17.87795       17.87795     
      5700   2.85           355.53241     -3228.7144      22.93213       22126.207      5714.6305      17.87843       17.87843       17.87843     
      5800   2.9            353.50924     -3228.5931      22.801633      21151.598      5715.0986      17.878918      17.878918      17.878918    
      5900   2.95           358.3046      -3228.9113      23.110938      18826.358      5715.5741      17.879414      17.879414      17.879414    
      6000   3              363.83578     -3229.2763      23.467703      17349.494      5716.0564      17.879917      17.879917      17.879917    
      6100   3.05           352.17562     -3228.5325      22.715614      18111.099      5716.5449      17.880426      17.880426      17.880426    
      6200   3.1            341.33808     -3227.8417      22.016584      17035.63       5717.0396      17.880942      17.880942      17.880942    
      6300   3.15           368.02413     -3229.5718      23.737855      17616.527      5717.5405      17.881464      17.881464      17.881464    
      6400   3.2            351.56399     -3228.5183      22.676163      17003.445      5718.0477      17.881993      17.881993      17.881993    
      6500   3.25           362.35836     -3229.2231      23.372409      16141.193      5718.561       17.882528      17.882528      17.882528    
      6600   3.3            335.84746     -3227.5212      21.662434      17222.998      5719.0802      17.883069      17.883069      17.883069    
      6700   3.35           360.5026      -3229.1198      23.252711      15603.682      5719.6053      17.883617      17.883617      17.883617    
      6800   3.4            341.75969     -3227.9195      22.043778      18479.419      5720.1363      17.88417       17.88417       17.88417     
      6900   3.45           369.99859     -3229.7497      23.865209      14733.999      5720.6735      17.88473       17.88473       17.88473     
      7000   3.5            346.17435     -3228.2212      22.328527      16466.763      5721.2164      17.885296      17.885296      17.885296    
      7100   3.55           354.67928     -3228.7784      22.877102      16400.698      5721.7652      17.885868      17.885868      17.885868    
      7200   3.6            350.64983     -3228.527       22.617199      15188.803      5722.3197      17.886445      17.886445      17.886445    
      7300   3.65           358.32948     -3229.0309      23.112543      16707.921      5722.8798      17.887029      17.887029      17.887029    
      7400   3.7            358.86038     -3229.0738      23.146786      14796.614      5723.4457      17.887618      17.887618      17.887618    
      7500   3.75           352.4273      -3228.6676      22.731847      17335.093      5724.017       17.888214      17.888214      17.888214    
      7600   3.8            366.55914     -3229.5886      23.643363      17624.94       5724.5946      17.888815      17.888815      17.888815    
      7700   3.85           338.53936     -3227.7901      21.836064      15132.247      5725.1782      17.889423      17.889423      17.889423    
      7800   3.9            360.91644     -3229.2423      23.279404      17203.822      5725.7675      17.890037      17.890037      17.890037    
      7900   3.95           336.8575      -3227.7001      21.727582      17985.204      5726.3628      17.890657      17.890657      17.890657    
      8000   4              357.04846     -3229.0115      23.029915      13762.681      5726.9643      17.891283      17.891283      17.891283    
      8100   4.05           345.3392      -3228.2645      22.274659      16133.536      5727.571       17.891915      17.891915      17.891915    
      8200   4.1            348.20327     -3228.4577      22.459394      12603.729      5728.1829      17.892552      17.892552      17.892552    
      8300   4.15           351.92312     -3228.7057      22.699327      14306.554      5728.7995      17.893194      17.893194      17.893194    
      8400   4.2            362.67715     -3229.408       23.392971      13749.358      5729.4211      17.893841      17.893841      17.893841    
      8500   4.25           350.94432     -3228.6599      22.636194      14105.377      5730.0478      17.894494      17.894494      17.894494    
      8600   4.3            353.59198     -3228.8392      22.80697       13413.731      5730.6797      17.895151      17.895151      17.895151    
      8700   4.35           359.93154     -3229.2558      23.215876      11755.235      5731.3161      17.895814      17.895814      17.895814    
      8800   4.4            346.5655      -3228.4022      22.353756      15160.698      5731.957       17.896481      17.896481      17.896481    
      8900   4.45           362.55965     -3229.4432      23.385392      14083.543      5732.6032      17.897153      17.897153      17.897153    
      9000   4.5            346.54948     -3228.4186      22.352723      12305.426      5733.2545      17.897831      17.897831      17.897831    
      9100   4.55           358.9592      -3229.2271      23.15316       12953.29       5733.9103      17.898514      17.898514      17.898514    
      9200   4.6            338.70024     -3227.9285      21.84644       12706.145      5734.5706      17.899201      17.899201      17.899201    
      9300   4.65           361.54093     -3229.4107      23.319684      14360.061      5735.2355      17.899892      17.899892      17.899892    
      9400   4.7            366.62444     -3229.7471      23.647574      10263.768      5735.9053      17.900589      17.900589      17.900589    
      9500   4.75           351.86464     -3228.8031      22.695555      12920.75       5736.5795      17.90129       17.90129       17.90129     
      9600   4.8            347.33765     -3228.5197      22.40356       14448.899      5737.2583      17.901996      17.901996      17.901996    
      9700   4.85           343.66865     -3228.2916      22.166907      12167.666      5737.9419      17.902707      17.902707      17.902707    
      9800   4.9            366.20436     -3229.7533      23.620478      9716.1981      5738.6298      17.903423      17.903423      17.903423    
      9900   4.95           347.88241     -3228.5788      22.438698      11825.146      5739.3215      17.904142      17.904142      17.904142    
     10000   5              352.6825      -3228.8964      22.748308      11157.261      5740.0173      17.904866      17.904866      17.904866    
     10100   5.05           354.52081     -3229.0229      22.86688       11120.114      5740.7171      17.905593      17.905593      17.905593    
     10200   5.1            372.89036     -3230.2159      24.051731      9857.0383      5741.4209      17.906325      17.906325      17.906325    
     10300   5.15           348.83925     -3228.6717      22.500415      10522.551      5742.1284      17.90706       17.90706       17.90706     
     10400   5.2            349.28115     -3228.7083      22.528918      11946.354      5742.8397      17.9078        17.9078        17.9078      
     10500   5.25           359.37901     -3229.3681      23.180238      11146.612      5743.5552      17.908544      17.908544      17.908544    
     10600   5.3            336.17383     -3227.8787      21.683485      11099.65       5744.2747      17.909291      17.909291      17.909291    
     10700   5.35           353.19336     -3228.9846      22.781259      10944.082      5744.9982      17.910043      17.910043      17.910043    
     10800   5.4            352.15774     -3228.9256      22.71446       10447.991      5745.7255      17.910799      17.910799      17.910799    
     10900   5.45           352.97799     -3228.9855      22.767367      7996.2402      5746.4563      17.911558      17.911558      17.911558    
     11000   5.5            346.8496      -3228.5972      22.372081      9808.969       5747.1901      17.912321      17.912321      17.912321    
     11100   5.55           360.50114     -3229.4847      23.252616      8302.6327      5747.9271      17.913086      17.913086      17.913086    
     11200   5.6            348.494       -3228.7175      22.478146      9368.8066      5748.6674      17.913855      17.913855      17.913855    
     11300   5.65           348.98517     -3228.7558      22.509827      8333.9866      5749.4108      17.914627      17.914627      17.914627    
     11400   5.7            347.88477     -3228.6921      22.43885       8423.3167      5750.1571      17.915403      17.915403      17.915403    
     11500   5.75           355.88087     -3229.214       22.954605      4955.5978      5750.9064      17.916181      17.916181      17.916181    
     11600   5.8            366.42062     -3229.8998      23.634428      6940.26        5751.6579      17.916961      17.916961      17.916961    
     11700   5.85           349.07758     -3228.788       22.515787      9478.9132      5752.412       17.917744      17.917744      17.917744    
     11800   5.9            338.62141     -3228.1201      21.841356      6973.9597      5753.1692      17.91853       17.91853       17.91853     
     11900   5.95           356.43962     -3229.2757      22.990645      6238.1344      5753.9288      17.919319      17.919319      17.919319    
     12000   6              361.09913     -3229.5822      23.291187      4648.8172      5754.6909      17.92011       17.92011       17.92011     
     12100   6.05           344.73822     -3228.532       22.235895      5566.6143      5755.4549      17.920903      17.920903      17.920903    
     12200   6.1            349.9654      -3228.8748      22.573053      5290.658       5756.2207      17.921698      17.921698      17.921698    
     12300   6.15           353.47397     -3229.1068      22.799358      4917.7912      5756.9886      17.922495      17.922495      17.922495    
     12400   6.2            362.63636     -3229.7032      23.39034       4677.7592      5757.7583      17.923293      17.923293      17.923293    
     12500   6.25           344.26182     -3228.5229      22.205167      3235.9757      5758.5297      17.924094      17.924094      17.924094    
     12600   6.3            354.14246     -3229.1649      22.842477      4312.3176      5759.3024      17.924895      17.924895      17.924895    
     12700   6.35           347.31622     -3228.7293      22.402178      2590.5721      5760.0766      17.925698      17.925698      17.925698    
     12800   6.4            347.93409     -3228.773       22.442031      2131.0315      5760.8518      17.926503      17.926503      17.926503    
     12900   6.45           359.05902     -3229.4951      23.159598      4228.2517      5761.6279      17.927308      17.927308      17.927308    
     13000   6.5            336.11717     -3228.0202      21.67983       3619.6649      5762.4054      17.928114      17.928114      17.928114    
     13100   6.55           354.14289     -3229.1872      22.842504      2535.8338      5763.1841      17.928921      17.928921      17.928921    
     13200   6.6            347.68254     -3228.7747      22.425806      4116.0762      5763.9637      17.92973       17.92973       17.92973     
     13300   6.65           332.21041     -3227.7814      21.427842      5347.0969      5764.7446      17.930539      17.930539      17.930539    
     13400   6.7            367.06472     -3230.0345      23.675973      1385.9888      5765.5269      17.931351      17.931351      17.931351    
     13500   6.75           346.5278      -3228.7137      22.351325      3287.9007      5766.31        17.932162      17.932162      17.932162    
     13600   6.8            362.95717     -3229.7784      23.411032      2850.8711      5767.0943      17.932975      17.932975      17.932975    
     13700   6.85           351.11976     -3229.0192      22.647509      2965.3791      5767.8798      17.933789      17.933789      17.933789    
     13800   6.9            341.05973     -3228.3743      21.99863       1972.7852      5768.6663      17.934605      17.934605      17.934605    
     13900   6.95           342.8682      -3228.4944      22.115277      717.6778       5769.4534      17.93542       17.93542       17.93542     
     14000   7              350.94605     -3229.0181      22.636305      176.7395       5770.2407      17.936236      17.936236      17.936236    
     14100   7.05           344.06957     -3228.5781      22.192767      1813.6116      5771.0281      17.937052      17.937052      17.937052    
     14200   7.1            349.54185     -3228.9348      22.545733      229.56057      5771.816       17.937868      17.937868      17.937868    
     14300   7.15           338.78444     -3228.2433      21.851871      4.8487804      5772.6041      17.938684      17.938684      17.938684    
     14400   7.2            354.74273     -3229.2756      22.881194     -252.6649       5773.392       17.939501      17.939501      17.939501    
     14500   7.25           357.72598     -3229.4708      23.073616     -1292.2294      5774.1798      17.940317      17.940317      17.940317    
     14600   7.3            331.36482     -3227.7726      21.3733        1011.5987      5774.9674      17.941132      17.941132      17.941132    
     14700   7.35           352.19499     -3229.1193      22.716863      280.51082      5775.7549      17.941948      17.941948      17.941948    
     14800   7.4            343.05435     -3228.5332      22.127284      10.308559      5776.5425      17.942763      17.942763      17.942763    
     14900   7.45           340.72251     -3228.3854      21.976879      1527.0595      5777.3303      17.943579      17.943579      17.943579    
     15000   7.5            369.03152     -3230.2147      23.802833     -1108.9996      5778.1182      17.944394      17.944394      17.944394    
     15100   7.55           339.72604     -3228.3268      21.912605     -1150.2937      5778.906       17.94521       17.94521       17.94521     
     15200   7.6            351.34325     -3229.0785      22.661925     -52.943647      5779.6934      17.946025      17.946025      17.946025    
     15300   7.65           337.62728     -3228.1957      21.777234     -2726.3521      5780.4805      17.94684       17.94684       17.94684     
     15400   7.7            343.97058     -3228.6063      22.186382     -1992.3696      5781.2666      17.947653      17.947653      17.947653    
     15500   7.75           348.9538      -3228.9299      22.507804     -1615.5542      5782.0518      17.948466      17.948466      17.948466    
     15600   7.8            347.69082     -3228.8499      22.42634      -2670.5033      5782.8364      17.949277      17.949277      17.949277    
     15700   7.85           341.37573     -3228.4438      22.019012     -2877.2022      5783.6198      17.950088      17.950088      17.950088    
     15800   7.9            355.07783     -3229.3292      22.902808     -1421.7585      5784.4021      17.950897      17.950897      17.950897    
     15900   7.95           343.19685     -3228.5642      22.136476     -3964.3204      5785.1835      17.951705      17.951705      17.951705    
     16000   8              351.64761     -3229.1105      22.681557     -2034.7596      5785.9636      17.952512      17.952512      17.952512    
     16100   8.05           338.28498     -3228.2499      21.819656     -3005.6274      5786.7427      17.953318      17.953318      17.953318    
     16200   8.1            346.7896      -3228.7994      22.368211     -4504.3763      5787.5204      17.954122      17.954122      17.954122    
     16300   8.15           334.99485     -3228.0389      21.60744      -3933.5345      5788.2965      17.954925      17.954925      17.954925    
     16400   8.2            365.29902     -3229.9943      23.562083     -4496.0866      5789.071       17.955726      17.955726      17.955726    
     16500   8.25           340.19237     -3228.3756      21.942684     -3683.1511      5789.8437      17.956524      17.956524      17.956524    
