Node: d1028  Start: Mon Jun 22 05:50:13 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0622 05:50:36.645000 1131917 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823087 -0.0045823087 -0.0045823087) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.017 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
         0   0              900           -3250.6152      58.050731      10876.237      5700.9619      17.864165      17.864165      17.864165    
       100   0.05           297.88925     -3211.7758      19.214098      39215.34       5700.9666      17.86417       17.86417       17.86417     
       200   0.1            428.4786      -3220.1996      27.637218      32917.489      5700.984       17.864188      17.864188      17.864188    
       300   0.15           433.47347     -3220.5237      27.959391      30141.858      5701.0123      17.864217      17.864217      17.864217    
       400   0.2            458.80864     -3222.1602      29.59353       29889.356      5701.0509      17.864258      17.864258      17.864258    
       500   0.25           465.78379     -3222.6127      30.043433      33699.282      5701.1006      17.864309      17.864309      17.864309    
       600   0.3            457.70227     -3222.0944      29.522169      31044.79       5701.162       17.864374      17.864374      17.864374    
       700   0.35           458.46456     -3222.1469      29.571336      31017.506      5701.2345      17.864449      17.864449      17.864449    
       800   0.4            461.36702     -3222.338       29.758547      32605.683      5701.318       17.864537      17.864537      17.864537    
       900   0.45           455.69108     -3221.976       29.392445      30297.089      5701.4127      17.864635      17.864635      17.864635    
      1000   0.5            477.80016     -3223.4067      30.818499      30331.547      5701.5184      17.864746      17.864746      17.864746    
      1100   0.55           457.48129     -3222.1004      29.507915      29735.772      5701.635       17.864868      17.864868      17.864868    
      1200   0.6            442.58266     -3221.1444      28.546941      31047.676      5701.7623      17.865001      17.865001      17.865001    
      1300   0.65           479.41001     -3223.5253      30.922335      30984.297      5701.9002      17.865145      17.865145      17.865145    
      1400   0.7            437.41958     -3220.8225      28.213918      32693.26       5702.0489      17.8653        17.8653        17.8653      
      1500   0.75           476.34912     -3223.3396      30.724905      28871.942      5702.2088      17.865467      17.865467      17.865467    
      1600   0.8            456.68923     -3222.0776      29.456826      30713.032      5702.3795      17.865645      17.865645      17.865645    
      1700   0.85           474.89906     -3223.2587      30.631375      29947.955      5702.561       17.865835      17.865835      17.865835    
