# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 8.069859360026666872e-02 2.552144587781333684e-01 9.891547814787715609e-01 1.173506585151426362e+00
1.000000000000000000e+00 8.031914116030687556e-02 3.325803908294863165e-01 1.268248691635646797e+00 1.903172239163973156e+00
1.500000000000000000e+00 8.197432167857143792e-02 3.839301529256340939e-01 1.461576884571207602e+00 2.581088830953680358e+00
2.000000000000000000e+00 8.028245006252507365e-02 4.164979850236472658e-01 1.667211124742907558e+00 3.163427468092281813e+00
2.500000000000000000e+00 8.522066192680481655e-02 4.717339709208556164e-01 1.859180827885207776e+00 3.794724632593006852e+00
3.000000000000000000e+00 8.070278841906355916e-02 5.013981134064883216e-01 1.976040545212177646e+00 4.330607805860378967e+00
3.500000000000000000e+00 8.149052947831326998e-02 5.438685543544846679e-01 2.105460572313615941e+00 4.808458442266290156e+00
4.000000000000000000e+00 8.178013136845280195e-02 5.757361869012056488e-01 2.244377684747135060e+00 5.257290931115867316e+00
4.500000000000000000e+00 8.127624761353886840e-02 6.197502368307640230e-01 2.280477271115440185e+00 5.696535461962517033e+00
5.000000000000000000e+00 8.316116608397049192e-02 6.466125721494300205e-01 2.400935141516590932e+00 6.108332281662399943e+00
5.500000000000000000e+00 8.217837899557046966e-02 6.684685530615435134e-01 2.462224737895362114e+00 6.496181136421125046e+00
6.000000000000000000e+00 7.902547491873740393e-02 7.191835234170584901e-01 2.551008871187978144e+00 6.960058083830373832e+00
6.500000000000000000e+00 8.508100232755377856e-02 7.552046771396505598e-01 2.545314017475648338e+00 7.443014102637102170e+00
7.000000000000000000e+00 8.187382226691325426e-02 7.782681284337591432e-01 2.557668016618408480e+00 7.985123389306577835e+00
7.500000000000000000e+00 8.463882714629880621e-02 7.996743188202556363e-01 2.630053574307800623e+00 8.438427814882452083e+00
8.000000000000000000e+00 8.209673195723907191e-02 8.141013526444444981e-01 2.598754515781852792e+00 8.944274134183800129e+00
8.500000000000000000e+00 8.083199719494610358e-02 8.356530925600403892e-01 2.674992433568403438e+00 9.422269051300121490e+00
9.000000000000000000e+00 7.981358124160486955e-02 8.571426455451784943e-01 2.723785803733442812e+00 9.872642069752185279e+00
9.500000000000000000e+00 7.871490388744939448e-02 8.826434509959514285e-01 2.749054659309637216e+00 1.029510189930782538e+01
1.000000000000000000e+01 8.080908109601621370e-02 8.951464062083727136e-01 2.790970512323261765e+00 1.070960365751176013e+01
1.050000000000000000e+01 8.008284005013516227e-02 9.183260317159459563e-01 2.848401486046641562e+00 1.111060296505038991e+01
1.100000000000000000e+01 8.002951374063557721e-02 9.293326733591615874e-01 2.937039369316513326e+00 1.149824654003139734e+01
1.150000000000000000e+01 8.386901883599459651e-02 9.422046618901219750e-01 2.976424588030425422e+00 1.185819831716509043e+01
1.200000000000000000e+01 8.351702457488154041e-02 9.497635233526743326e-01 3.056534642376630639e+00 1.224129812664000561e+01
1.250000000000000000e+01 8.369669365596207888e-02 9.636358609643630446e-01 3.108994177778575452e+00 1.261467360970372553e+01
1.300000000000000000e+01 7.971018016894916569e-02 9.849478486364066088e-01 3.195487034120815917e+00 1.295046880958755331e+01
1.350000000000000000e+01 8.177778323724561871e-02 1.006684332313975583e+00 3.234034863624052569e+00 1.330042170952422609e+01
1.400000000000000000e+01 8.043739067019689548e-02 1.036918365133536968e+00 3.323521067219713299e+00 1.365074905272046735e+01
1.450000000000000000e+01 8.198815857466035251e-02 1.072772716415693051e+00 3.418662211833612297e+00 1.394633412250420790e+01
1.500000000000000000e+01 8.355793977586678523e-02 1.093165769503126938e+00 3.458897193159041983e+00 1.427921174539706151e+01
1.550000000000000000e+01 8.407678390782313826e-02 1.103309384967414930e+00 3.425896594964441100e+00 1.459076697775123321e+01
1.600000000000000000e+01 8.349653902253234561e-02 1.130266076262559594e+00 3.436287598238557894e+00 1.496325153844851741e+01
1.650000000000000000e+01 8.071545006995914373e-02 1.154764988439305196e+00 3.477334771332813990e+00 1.528744694647985192e+01
1.700000000000000000e+01 8.242742137375598521e-02 1.169749248316496182e+00 3.465622606416185025e+00 1.556981587453605087e+01
1.750000000000000000e+01 8.096527517585269673e-02 1.203609146085879988e+00 3.466338141559509367e+00 1.588622080113920454e+01
1.800000000000000000e+01 7.999127410361776824e-02 1.229434009688191276e+00 3.549857935798398589e+00 1.620809583288444244e+01
1.850000000000000000e+01 7.927466227124319031e-02 1.251005892630601135e+00 3.548787744481008755e+00 1.650756186145516935e+01
1.900000000000000000e+01 8.146075602385510761e-02 1.275041484019822313e+00 3.595009720769580586e+00 1.682429015518528459e+01
