# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.093766  +0.0111
0.1053  -2398.075639  +0.0292
0.1579  -2398.050641  +0.0542
0.2105  -2398.004173  +0.1007
0.2632  -2397.932162  +0.1727
0.3158  -2397.833484  +0.2714
0.3684  -2397.781775  +0.3231
0.4211  -2397.792934  +0.3119
0.4737  -2397.820907  +0.2840
0.5263  -2397.900642  +0.2042
0.5789  -2398.002747  +0.1021
0.6316  -2398.066719  +0.0381
0.6842  -2398.114207  -0.0093
0.7368  -2398.178376  -0.0735
0.7895  -2398.268618  -0.1638
0.8421  -2398.345089  -0.2402
0.8947  -2398.426456  -0.3216
0.9474  -2398.707332  -0.6025
1.0000  -2399.207808  -1.1029
