# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.895516  +0.0000
0.0526  -2397.801402  +0.0941
0.1053  -2397.675951  +0.2196
0.1579  -2397.555815  +0.3397
0.2105  -2397.481446  +0.4141
0.2632  -2397.423729  +0.4718
0.3158  -2397.370137  +0.5254
0.3684  -2397.378509  +0.5170
0.4211  -2397.390545  +0.5050
0.4737  -2397.397890  +0.4976
0.5263  -2397.413415  +0.4821
0.5789  -2397.426396  +0.4691
0.6316  -2397.438660  +0.4569
0.6842  -2397.457377  +0.4381
0.7368  -2397.482687  +0.4128
0.7895  -2397.501676  +0.3938
0.8421  -2397.501568  +0.3939
0.8947  -2397.506607  +0.3889
0.9474  -2398.170739  -0.2752
1.0000  -2398.276959  -0.3814
