# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.752900  +0.1100
0.1053  -2397.619124  +0.2438
0.1579  -2397.568415  +0.2945
0.2105  -2397.521304  +0.3416
0.2632  -2397.475509  +0.3874
0.3158  -2397.432880  +0.4300
0.3684  -2397.394416  +0.4685
0.4211  -2397.377929  +0.4849
0.4737  -2397.361244  +0.5016
0.5263  -2397.383756  +0.4791
0.5789  -2397.496474  +0.3664
0.6316  -2397.730086  +0.1328
0.6842  -2397.947089  -0.0842
0.7368  -2398.090474  -0.2276
0.7895  -2398.186893  -0.3240
0.8421  -2398.255306  -0.3924
0.8947  -2398.305184  -0.4423
0.9474  -2398.347065  -0.4842
1.0000  -2398.477182  -0.6143
