# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.823014  +0.0620
0.1053  -2397.760027  +0.1250
0.1579  -2397.654575  +0.2304
0.2105  -2397.623731  +0.2613
0.2632  -2397.584232  +0.3008
0.3158  -2397.542726  +0.3423
0.3684  -2397.508064  +0.3770
0.4211  -2397.475458  +0.4096
0.4737  -2397.447140  +0.4379
0.5263  -2397.433521  +0.4515
0.5789  -2397.417070  +0.4680
0.6316  -2397.394742  +0.4903
0.6842  -2397.411093  +0.4739
0.7368  -2397.461635  +0.4234
0.7895  -2397.523993  +0.3610
0.8421  -2397.572502  +0.3125
0.8947  -2397.605026  +0.2800
0.9474  -2397.831511  +0.0535
1.0000  -2398.395092  -0.5101
