LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
/home/akinyemi.az/miniforge3/envs/mace-lammps/lib/python3.11/site-packages/e3nn/o3/_wigner.py:10: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  _Jd, _W3j_flat, _W3j_indices = torch.load(os.path.join(os.path.dirname(__file__), 'constants.pt'))
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (25 25 67.55)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  3750 atoms
  read_data CPU = 0.011 seconds
### Minimization ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 7, bins = 4 4 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 1 extra global DOFs will be included in minimizer energies
 (src/KOKKOS/min_kokkos.cpp:94)
WARNING: Fix MINIMIZE/kk not compatible with sending data in Kokkos communication (src/KOKKOS/comm_kokkos.cpp:842)
WARNING: Fix with atom-based arrays not compatible with sending data in Kokkos communication, switching to legacy exchange/border communication (src/KOKKOS/comm_kokkos.cpp:849)
WARNING: Fix MINIMIZE/kk not (yet) compatible with Kokkos sorting on device (src/KOKKOS/atom_kokkos.cpp:219)
WARNING: Fix with atom-based arrays not (yet) compatible with Kokkos sorting on device, switching to legacy host sorting (src/KOKKOS/atom_kokkos.cpp:225)
Per MPI rank memory allocation (min/avg/max) = 2632 | 2632 | 2632 Mbytes
   Step         PotEng          Fmax          Fnorm          Press          Volume           Lx             Ly             Lz      
         0  -13714.22       3.1186596      77.224422      428462.52      42218.75       25             25             67.55        
        10  -14040.888      2.8528797      70.156003      389516.05      43498.02       25.25          25.25          68.2255      
        20  -14341.5        2.5877661      63.711199      348565.62      44802.875      25.5           25.5           68.901       
        30  -14613.557      2.3322694      57.826915      306641.62      46133.568      25.75          25.75          69.5765      
        40  -14855.442      2.0921844      52.433727      264838.47      47490.352      26             26             70.252       
        50  -15066.32       1.8697419      47.497012      224103.57      48873.48       26.25          26.25          70.9275      
        60  -15246.212      1.6643949      43.094058      185282.96      50283.207      26.5           26.5           71.603       
        70  -15395.748      1.4737248      39.30028       148763.83      51719.784      26.75          26.75          72.2785      
        80  -15515.788      1.3271892      36.101974      114518.93      53183.466      27             27             72.954       
        90  -15607.394      1.1918551      33.379469      82930.258      54674.506      27.25          27.25          73.6295      
       100  -15672.064      1.0531306      30.900981      53988.791      56193.156      27.5           27.5           74.305       
       110  -15710.986      0.91159391     28.522749      27050.813      57739.671      27.75          27.75          74.9805      
       120  -15724.984      0.83764701     26.237022      1713.5867      59314.304      28             28             75.656       
       130  -15882.004      2.5805144      35.952646      3296.1346      59001.083      27.950627      27.950627      75.522593    
       140  -15994.704      1.9960085      33.229697      476.84969      58993.375      27.949409      27.949409      75.519304    
       150  -16129.505      2.2133109      33.781809      232.02028      58916.022      27.937188      27.937188      75.486282    
       160  -16277.518      2.4759505      42.18722       746.36125      58713.864      27.905198      27.905198      75.399844    
       170  -16359.031      1.6831152      37.522691     -441.71704      58709.399      27.904491      27.904491      75.397933    
       180  -16449.62       1.3800912      36.236788      2626.9747      58451.627      27.863591      27.863591      75.287423    
       190  -16571.67       1.7204167      39.596482      230.85543      58393.99       27.854429      27.854429      75.262668    
       200  -16706.009      2.3764493      42.902737      3310.4533      58011.414      27.793466      27.793466      75.097944    
       210  -16861.296      3.5152506      50.2068       -896.01353      58036.392      27.797454      27.797454      75.108721    
       220  -16902.968      1.6059131      37.665659     -160.31426      57807.079      27.760795      27.760795      75.009667    
       230  -17047.954      1.8056477      34.655249     -1371.252       57430.881      27.700443      27.700443      74.846596    
       240  -17114.643      2.1018245      37.852848      109.52446      57041.367      27.637676      27.637676      74.677001    
       250  -17291.262      1.5768308      35.647696      298.47453      56414.633      27.536082      27.536082      74.402493    
       260  -17426.607      1.9757892      38.999868     -2875.2654      56107.149      27.485963      27.485963      74.267071    
       270  -17624.431      2.2857131      48.999101     -3562.0922      55553.71       27.39529       27.39529       74.022075    
       280  -17865.305      1.5895994      36.6073        2707.4184      54763.989      27.264858      27.264858      73.669647    
       290  -18065.484      2.0329236      43.052835     -3819.4895      54346.326      27.195369      27.195369      73.481886    
       300  -18207.472      2.9658087      54.683906      2763.0026      53603.616      27.070914      27.070914      73.145609    
       310  -18398.128      1.490615       36.228379     -1618.5099      53290.967      27.01818       27.01818       73.003121    
       320  -18544.043      1.5117701      39.639147     -3942.4514      52803.459      26.935539      26.935539      72.779827    
       330  -18726.384      1.567779       36.321466     -460.55989      52122.298      26.819216      26.819216      72.46552     
       340  -18804.537      1.9746366      40.568145     -1170.5777      51844.893      26.771552      26.771552      72.336733    
       350  -18896.012      3.3627418      52.533989     -1006.9407      51569.635      26.724089      26.724089      72.208488    
       360  -18939.625      0.97357946     25.793139     -35.488429      51324.055      26.6816        26.6816        72.093684    
       370  -18990.782      3.3159425      50.315653      293.52769      51305.764      26.67843       26.67843       72.085118    
       380  -19054.481      0.78177369     19.343147      444.09803      50939.668      26.614823      26.614823      71.913253    
       390  -19089.031      1.3452627      24.111397      1699.1406      50797.318      26.590009      26.590009      71.846204    
       400  -19113.72       1.1416847      21.503048      2273.7479      50677.646      26.569111      26.569111      71.789739    
       410  -19180.04       1.2009727      22.47294      -864.18357      50636.584      26.561933      26.561933      71.770344    
       420  -19212.918      0.75953349     18.518021     -39.37976       50481.755      26.534833      26.534833      71.69712     
       430  -19260.851      0.79048846     18.029667      20.588082      50292.576      26.501646      26.501646      71.607447    
       440  -19298.761      1.2089155      20.512533      167.81087      50164.12       26.479063      26.479063      71.546429    
       450  -19308.446      0.84106545     17.386148     -89.348026      50117.248      26.470814      26.470814      71.524139    
       460  -19308.791      1.6172618      27.84221      -164.97222      50102.043      26.468136      26.468136      71.516905    
       470  -19319.386      2.4562213      38.779832      2199.95        49923.295      26.436622      26.436622      71.431753    
       480  -19374.748      1.5519781      23.522265     -2192.3855      49927.325      26.437334      26.437334      71.433676    
       490  -19385.636      0.92095652     19.671791      8912.3102      49456.55       26.353977      26.353977      71.208445    
       500  -19405.134      0.73858755     15.757883      152.16001      49781.196      26.411516      26.411516      71.363916    
       510  -19411.139      1.3339467      23.929379      248.44124      49786.327      26.412423      26.412423      71.366368    
       520  -19418.46       0.88934487     14.83065      -94.856923      49723.458      26.401301      26.401301      71.336315    
       530  -19420.722      1.8355928      26.825312      439.72772      49672.153      26.392217      26.392217      71.311772    
       540  -19431.608      1.4033495      20.549144      1113.9802      49614.258      26.38196       26.38196       71.284055    
       550  -19431.817      2.2353675      30.066222      505.73741      49629.643      26.384686      26.384686      71.291422    
       560  -19432.202      3.1576034      40.785328     -119.36216      49641.561      26.386798      26.386798      71.297129    
       570  -19453.298      0.33587312     9.4307341     -73.8208        49576.395      26.375247      26.375247      71.265917    
       580  -19458.269      0.64323212     12.200231      1326.0502      49488.589      26.359666      26.359666      71.223819    
       590  -19465.606      0.6162763      11.186902     -1794.6494      49610.663      26.381322      26.381322      71.282333    
       600  -19469.565      0.63272164     11.384651     -1224.7207      49569.788      26.374075      26.374075      71.262751    
       610  -19477.081      0.93991306     15.476087      99.950922      49495.12       26.360826      26.360826      71.226951    
       620  -19481.848      0.83660964     14.824505      623.21653      49436.373      26.350392      26.350392      71.19876     
       630  -19481.938      1.397767       21.658321      190.40651      49451.884      26.353148      26.353148      71.206206    
       640  -19494.716      1.3424189      20.922732     -11.805292      49460.165      26.354619      26.354619      71.21018     
       650  -19501.291      0.94101091     14.84501       485.98982      49435.882      26.350305      26.350305      71.198524    
       660  -19505.471      0.59438128     10.010448     -3551.0575      49617.545      26.382542      26.382542      71.285629    
       670  -19506.93       0.53600978     8.918074      -48.729695      49472.314      26.356777      26.356777      71.21601     
       680  -19507.272      0.69902132     10.905818      3174.4879      49331.342      26.331718      26.331718      71.148302    
       690  -19514.657      0.666945       10.190139     -538.42944      49484.112      26.358871      26.358871      71.221671    
       700  -19520.453      0.21310126     5.0711933      36.39472       49410.394      26.345776      26.345776      71.186286    
       710  -19520.512      0.54220264     8.5990554     -180.91059      49427.034      26.348733      26.348733      71.194276    
       720  -19526.809      1.2165126      17.523345      398.35164      49357.525      26.336376      26.336376      71.160887    
       730  -19532.05       0.65009706     10.423214     -282.6049       49359.095      26.336655      26.336655      71.161642    
       740  -19534.743      0.34071171     7.6239337      7.0858076      49333.037      26.33202       26.33202       71.149117    
       750  -19534.924      0.68447932     12.11454       168.83673      49324.273      26.33046       26.33046       71.144904    
