# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.186383  +0.0090
0.1053  -2398.142063  +0.0533
0.1579  -2398.081636  +0.1137
0.2105  -2398.014706  +0.1807
0.2632  -2397.924949  +0.2704
0.3158  -2397.815761  +0.3796
0.3684  -2397.737754  +0.4576
0.4211  -2397.703280  +0.4921
0.4737  -2397.683491  +0.5119
0.5263  -2397.661223  +0.5342
0.5789  -2397.649838  +0.5455
0.6316  -2397.656609  +0.5388
0.6842  -2397.678506  +0.5169
0.7368  -2397.716792  +0.4786
0.7895  -2397.767106  +0.4283
0.8421  -2397.815807  +0.3796
0.8947  -2397.859910  +0.3355
0.9474  -2397.854231  +0.3411
1.0000  -2399.007182  -0.8118
