# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.825724  +0.0372
0.1053  -2397.778528  +0.0843
0.1579  -2397.687699  +0.1752
0.2105  -2397.610432  +0.2524
0.2632  -2397.575523  +0.2874
0.3158  -2397.541648  +0.3212
0.3684  -2397.510545  +0.3523
0.4211  -2397.490221  +0.3727
0.4737  -2397.475179  +0.3877
0.5263  -2397.463695  +0.3992
0.5789  -2397.446272  +0.4166
0.6316  -2397.434725  +0.4282
0.6842  -2397.445934  +0.4169
0.7368  -2397.470439  +0.3924
0.7895  -2397.512597  +0.3503
0.8421  -2397.607085  +0.2558
0.8947  -2397.675066  +0.1878
0.9474  -2398.444773  -0.5819
1.0000  -2398.307810  -0.4449
