# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.895516  +0.0000
0.0526  -2397.858073  +0.0374
0.1053  -2397.780897  +0.1146
0.1579  -2397.670013  +0.2255
0.2105  -2397.569741  +0.3258
0.2632  -2397.500430  +0.3951
0.3158  -2397.458259  +0.4373
0.3684  -2397.408052  +0.4875
0.4211  -2397.370188  +0.5253
0.4737  -2397.377997  +0.5175
0.5263  -2397.389602  +0.5059
0.5789  -2397.395706  +0.4998
0.6316  -2397.404672  +0.4908
0.6842  -2397.416847  +0.4787
0.7368  -2397.423982  +0.4715
0.7895  -2397.427944  +0.4676
0.8421  -2397.431702  +0.4638
0.8947  -2397.435754  +0.4598
0.9474  -2398.488816  -0.5933
1.0000  -2398.538363  -0.6428
