# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2396.509713  +1.6478
0.1053  -2396.492312  +1.6652
0.1579  -2396.459051  +1.6984
0.2105  -2396.419496  +1.7380
0.2632  -2396.385917  +1.7715
0.3158  -2396.364603  +1.7929
0.3684  -2396.357451  +1.8000
0.4211  -2396.367486  +1.7900
0.4737  -2396.393881  +1.7636
0.5263  -2396.424805  +1.7327
0.5789  -2396.449786  +1.7077
0.6316  -2396.471382  +1.6861
0.6842  -2396.486316  +1.6712
0.7368  -2396.482307  +1.6752
0.7895  -2396.504745  +1.6527
0.8421  -2396.601899  +1.5556
0.8947  -2397.161065  +0.9964
0.9474  -2398.524156  -0.3667
1.0000  -2398.805197  -0.6477
