# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.154667  +0.0407
0.1053  -2398.088656  +0.1067
0.1579  -2398.014848  +0.1805
0.2105  -2397.911470  +0.2839
0.2632  -2397.788417  +0.4070
0.3158  -2397.718342  +0.4770
0.3684  -2397.691020  +0.5044
0.4211  -2397.665194  +0.5302
0.4737  -2397.649822  +0.5456
0.5263  -2397.653964  +0.5414
0.5789  -2397.667079  +0.5283
0.6316  -2397.689627  +0.5057
0.6842  -2397.721247  +0.4741
0.7368  -2397.758484  +0.4369
0.7895  -2397.793900  +0.4015
0.8421  -2397.825165  +0.3702
0.8947  -2397.864296  +0.3311
0.9474  -2398.266247  -0.0709
1.0000  -2398.866652  -0.6713
