# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.138948  +0.0622
0.1053  -2398.116137  +0.0850
0.1579  -2398.029123  +0.1720
0.2105  -2397.915432  +0.2857
0.2632  -2397.782044  +0.4191
0.3158  -2397.867029  +0.3341
0.3684  -2397.841547  +0.3596
0.4211  -2397.806893  +0.3942
0.4737  -2397.768292  +0.4328
0.5263  -2397.747482  +0.4536
0.5789  -2397.765033  +0.4361
0.6316  -2397.804584  +0.3965
0.6842  -2397.828633  +0.3725
0.7368  -2397.920497  +0.2806
0.7895  -2398.120073  +0.0810
0.8421  -2398.469062  -0.2680
0.8947  -2398.704559  -0.5035
0.9474  -2398.730087  -0.5290
1.0000  -2398.926942  -0.7258
