# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.864901  +0.0201
0.1053  -2397.846229  +0.0388
0.1579  -2397.822895  +0.0621
0.2105  -2397.718413  +0.1666
0.2632  -2397.595751  +0.2893
0.3158  -2397.442508  +0.4425
0.3684  -2397.378885  +0.5061
0.4211  -2397.387902  +0.4971
0.4737  -2397.399566  +0.4855
0.5263  -2397.421931  +0.4631
0.5789  -2397.457209  +0.4278
0.6316  -2397.497567  +0.3875
0.6842  -2397.537716  +0.3473
0.7368  -2397.572832  +0.3122
0.7895  -2397.606953  +0.2781
0.8421  -2397.652190  +0.2328
0.8947  -2398.118138  -0.2331
0.9474  -2398.344347  -0.4593
1.0000  -2398.749695  -0.8647
