# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.136471  +0.0646
0.1053  -2398.093652  +0.1074
0.1579  -2398.051530  +0.1496
0.2105  -2398.032356  +0.1687
0.2632  -2398.041428  +0.1597
0.3158  -2398.009787  +0.1913
0.3684  -2397.970688  +0.2304
0.4211  -2397.916534  +0.2846
0.4737  -2397.848127  +0.3530
0.5263  -2397.817159  +0.3839
0.5789  -2397.820473  +0.3806
0.6316  -2397.830538  +0.3706
0.6842  -2397.845793  +0.3553
0.7368  -2397.862093  +0.3390
0.7895  -2397.875280  +0.3258
0.8421  -2397.901030  +0.3001
0.8947  -2398.177606  +0.0235
0.9474  -2398.854816  -0.6537
1.0000  -2399.449759  -1.2487
