# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.444427  +0.4332
0.1053  -2397.639678  +0.2380
0.1579  -2397.643512  +0.2341
0.2105  -2397.619823  +0.2578
0.2632  -2397.560723  +0.3169
0.3158  -2397.549856  +0.3278
0.3684  -2397.541847  +0.3358
0.4211  -2397.513269  +0.3644
0.4737  -2397.478011  +0.3996
0.5263  -2397.452224  +0.4254
0.5789  -2397.444428  +0.4332
0.6316  -2397.459557  +0.4181
0.6842  -2397.499914  +0.3777
0.7368  -2397.554727  +0.3229
0.7895  -2397.606220  +0.2714
0.8421  -2397.645111  +0.2325
0.8947  -2397.680765  +0.1969
0.9474  -2398.397491  -0.5198
1.0000  -2398.307806  -0.4301
