# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.850317  +0.0347
0.1053  -2397.801712  +0.0833
0.1579  -2397.717375  +0.1676
0.2105  -2397.631665  +0.2534
0.2632  -2397.581452  +0.3036
0.3158  -2397.543971  +0.3411
0.3684  -2397.516543  +0.3685
0.4211  -2397.506378  +0.3786
0.4737  -2397.498610  +0.3864
0.5263  -2397.476096  +0.4089
0.5789  -2397.460762  +0.4243
0.6316  -2397.469778  +0.4152
0.6842  -2397.494816  +0.3902
0.7368  -2397.518499  +0.3665
0.7895  -2397.532783  +0.3522
0.8421  -2397.557276  +0.3277
0.8947  -2397.954856  -0.0698
0.9474  -2398.717124  -0.8321
1.0000  -2398.941855  -1.0568
