# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.024385  +0.1331
0.1053  -2397.899682  +0.2578
0.1579  -2397.735293  +0.4222
0.2105  -2397.802881  +0.3546
0.2632  -2397.823844  +0.3336
0.3158  -2397.829788  +0.3277
0.3684  -2397.830123  +0.3273
0.4211  -2397.828348  +0.3291
0.4737  -2397.811279  +0.3462
0.5263  -2397.772035  +0.3854
0.5789  -2397.728466  +0.4290
0.6316  -2397.714285  +0.4432
0.6842  -2397.772640  +0.3848
0.7368  -2398.012076  +0.1454
0.7895  -2398.290326  -0.1329
0.8421  -2398.532492  -0.3750
0.8947  -2398.714378  -0.5569
0.9474  -2398.846290  -0.6888
1.0000  -2399.207806  -1.0503
