# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.829008  +0.0486
0.1053  -2397.709657  +0.1680
0.1579  -2397.583338  +0.2943
0.2105  -2397.545950  +0.3317
0.2632  -2397.516608  +0.3610
0.3158  -2397.505588  +0.3721
0.3684  -2397.496200  +0.3815
0.4211  -2397.473739  +0.4039
0.4737  -2397.459172  +0.4185
0.5263  -2397.460467  +0.4172
0.5789  -2397.464647  +0.4130
0.6316  -2397.471741  +0.4059
0.6842  -2397.480793  +0.3969
0.7368  -2397.490262  +0.3874
0.7895  -2397.498980  +0.3787
0.8421  -2397.506499  +0.3712
0.8947  -2397.747149  +0.1305
0.9474  -2398.742970  -0.8653
1.0000  -2398.940633  -1.0630
