# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.114225  +0.0869
0.1053  -2398.035566  +0.1655
0.1579  -2398.085242  +0.1159
0.2105  -2398.078795  +0.1223
0.2632  -2398.061091  +0.1400
0.3158  -2398.038603  +0.1625
0.3684  -2398.016013  +0.1851
0.4211  -2397.992845  +0.2083
0.4737  -2397.966714  +0.2344
0.5263  -2397.935913  +0.2652
0.5789  -2397.898085  +0.3030
0.6316  -2397.857360  +0.3437
0.6842  -2397.827272  +0.3738
0.7368  -2397.817277  +0.3838
0.7895  -2397.817780  +0.3833
0.8421  -2397.819316  +0.3818
0.8947  -2397.821920  +0.3792
0.9474  -2397.825590  +0.3755
1.0000  -2399.207803  -1.0067
