# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.811524  +0.0514
0.1053  -2397.672263  +0.1906
0.1579  -2397.590586  +0.2723
0.2105  -2397.549741  +0.3131
0.2632  -2397.514259  +0.3486
0.3158  -2397.485330  +0.3775
0.3684  -2397.466572  +0.3963
0.4211  -2397.459510  +0.4034
0.4737  -2397.458738  +0.4041
0.5263  -2397.462315  +0.4006
0.5789  -2397.468762  +0.3941
0.6316  -2397.474374  +0.3885
0.6842  -2397.485912  +0.3770
0.7368  -2397.551080  +0.3118
0.7895  -2397.637963  +0.2249
0.8421  -2397.696174  +0.1667
0.8947  -2397.720772  +0.1421
0.9474  -2398.501001  -0.6381
1.0000  -2398.504056  -0.6412
