label,E_a,delta_E,fmax,converged,is_true_label,fs_true_label1,fs_true_label2,graph_dist,is_site,fs_pair
top_ni__top_mo+fcc_hollow,0.4489,-0.872,0.0495,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,NiNiNi_hollow_hcp,-1,top_ni,top_mo+fcc_hollow
top_ni__top_mo+hcp_hollow,0.4195,-1.0642,0.0494,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,MoNiNi_hollow_hcp,-1,top_ni,top_mo+hcp_hollow
hcp_hollow__top_mo+fcc_hollow,0.5061,-0.8647,0.0499,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,NiNiNi_hollow_hcp,-1,hcp_hollow,top_mo+fcc_hollow
hcp_hollow__top_mo+hcp_hollow,0.4243,-1.0568,0.0499,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,MoNiNi_hollow_hcp,-1,hcp_hollow,top_mo+hcp_hollow
top_cr__top_mo+top_cr,0.428,-1.0778,0.0498,True,Cr_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_cr,top_mo+top_cr
top_cr__top_mo+top_c,0.428,-1.0778,0.0497,True,Cr_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_cr,top_mo+top_c
top_ni__top_mo+top_cr,0.4185,-1.063,0.0499,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_ni,top_mo+top_cr
top_ni__top_mo+top_c,0.4185,-1.063,0.0499,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_ni,top_mo+top_c
hcp_hollow__top_mo+top_cr,0.5643,-1.0556,0.0488,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,hcp_hollow,top_mo+top_cr
hcp_hollow__top_mo+top_c,0.5643,-1.0556,0.0485,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,hcp_hollow,top_mo+top_c
top_cr__top_ni+top_cr,0.4276,-0.9253,0.0475,True,Cr_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_cr,top_ni+top_cr
top_cr__top_ni+top_c,0.4277,-0.9253,0.0477,True,Cr_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_cr,top_ni+top_c
top_ni__top_ni+top_cr,0.3869,-0.9105,0.0497,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_ni,top_ni+top_cr
top_ni__top_ni+top_c,0.3869,-0.9105,0.0499,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_ni,top_ni+top_c
hcp_hollow__top_ni+top_cr,0.5665,-0.9032,0.0498,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,hcp_hollow,top_ni+top_cr
hcp_hollow__top_ni+top_c,0.5665,-0.9032,0.0497,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,hcp_hollow,top_ni+top_c
top_mo__top_mo+fcc_hollow,0.3137,-0.9748,0.0483,True,Mo_atop_physisorbed,MoMoNi_hollow_hcp,NiNiNi_hollow_hcp,-1,top_mo,top_mo+fcc_hollow
top_mo__top_mo+hcp_hollow,0.3191,-1.1665,0.0497,True,Mo_atop_physisorbed,MoMoNi_hollow_hcp,MoNiNi_hollow_hcp,-1,top_mo,top_mo+hcp_hollow
top_mo__top_mo+top_cr,0.3197,-1.1648,0.05,True,Mo_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_mo,top_mo+top_cr
top_mo__top_mo+top_c,0.3197,-1.1648,0.0499,True,Mo_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_mo,top_mo+top_c
fcc_hollow__top_mo+fcc_hollow,0.4057,-0.8843,0.0496,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,NiNiNi_hollow_hcp,-1,fcc_hollow,top_mo+fcc_hollow
fcc_hollow__top_mo+hcp_hollow,0.4062,-1.076,0.0498,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,MoNiNi_hollow_hcp,-1,fcc_hollow,top_mo+hcp_hollow
top_cr__top_ni+top_fe,0.4998,-0.8158,0.0498,True,Cr_atop_physisorbed,MoMoNi_hollow_hcp,FeNiNi_hollow_hcp,-1,top_cr,top_ni+top_fe
top_b__top_mo+hcp_hollow,0.3842,-1.0702,0.0499,True,Mo_atop_physisorbed,MoMoNi_hollow_hcp,MoNiNi_hollow_hcp,-1,top_b,top_mo+hcp_hollow
top_cr__top_cr+fcc_hollow,0.4282,-0.5322,0.0498,True,Cr_atop_physisorbed,CrNiNi_hollow_hcp,NiNiNi_hollow_hcp,-1,top_cr,top_cr+fcc_hollow
top_cr__top_c+fcc_hollow,0.4282,-0.5322,0.0498,True,Cr_atop_physisorbed,CrNiNi_hollow_hcp,NiNiNi_hollow_hcp,-1,top_cr,top_c+fcc_hollow
top_ni__top_ni+top_fe,0.5024,-0.8011,0.0494,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,FeNiNi_hollow_hcp,-1,top_ni,top_ni+top_fe
top_c__top_mo+top_cr,0.4433,-1.1122,0.0498,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_c,top_mo+top_cr
top_c__top_mo+top_c,0.4433,-1.1122,0.0498,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,top_c,top_mo+top_c
bridge__top_mo+top_cr,0.4433,-1.1122,0.0484,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,bridge,top_mo+top_cr
bridge__top_mo+top_c,0.4433,-1.1122,0.0495,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,CrNiNi_hollow_hcp,-1,bridge,top_mo+top_c
hcp_hollow__top_ni+top_fe,0.5644,-0.7937,0.0499,True,Ni_atop_physisorbed,MoMoNi_hollow_hcp,FeNiNi_hollow_hcp,-1,hcp_hollow,top_ni+top_fe
top_ni__top_cr+fcc_hollow,0.5588,-0.5174,0.0498,True,Ni_atop_physisorbed,CrNiNi_hollow_hcp,NiNiNi_hollow_hcp,-1,top_ni,top_cr+fcc_hollow
top_ni__top_c+fcc_hollow,0.5588,-0.5174,0.0498,True,Ni_atop_physisorbed,CrNiNi_hollow_hcp,NiNiNi_hollow_hcp,-1,top_ni,top_c+fcc_hollow
