# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
944000 258.4
945000 266.797
946000 264.529
947000 264.503
948000 262.32
949000 260.122
950000 261.711
951000 265.836
952000 263.566
953000 255.058
954000 269.528
955000 275.173
956000 267.557
957000 255.302
958000 251.196
959000 253.495
960000 255.183
961000 265.368
962000 257.355
963000 258.671
964000 265.813
965000 255.688
966000 274.61
967000 259.651
968000 259.499
969000 248.435
970000 257.56
971000 254.993
972000 262.321
973000 265.45
974000 267.107
975000 234.779
976000 231.363
977000 232.62
978000 229.295
979000 237.39
980000 206.465
981000 245.503
982000 285.619
983000 288.314
984000 294.171
985000 276.423
986000 292.995
987000 300.101
988000 290.116
989000 290.699
990000 289.722
991000 292.409
992000 290.8
993000 289.037
994000 291.872
995000 279.016
996000 284.829
997000 286.587
998000 280.483
999000 276.212
1000000 290.668
1001000 284.587
1002000 286.335
1003000 288.335
1004000 285.655
1005000 281.428
1006000 281.24
1007000 309.547
1008000 290.121
1009000 291.315
1010000 282.469
1011000 291.936
1012000 291.619
1013000 281.873
1014000 288.444
1015000 284.743
1016000 288.959
1017000 283.853
1018000 270.145
1019000 274.375
1020000 284.709
1021000 276.806
1022000 262.972
1023000 275.532
1024000 284.821
1025000 297.93
1026000 288.481
1027000 291.616
1028000 289.988
1029000 290.292
1030000 300.187
1031000 289.606
1032000 294.802
1033000 286.415
1034000 281.438
1035000 283.718
1036000 290.504
1037000 279.981
1038000 278.263
1039000 293.922
1040000 290.281
1041000 280.212
1042000 282.246
1043000 287.43
1044000 291.12
1045000 282.559
1046000 285.214
1047000 280.445
1048000 296.934
1049000 294.455
1050000 290.354
1051000 283.103
1052000 300.774
1053000 282.326
1054000 298.023
1055000 291.121
1056000 289.506
1057000 285.492
1058000 303.939
1059000 304.173
1060000 293.208
1061000 285.382
1062000 286.572
1063000 294.385
1064000 281.499
1065000 288.944
1066000 354.594
1067000 375.158
1068000 368.57
1069000 371.014
1070000 369.119
1071000 344.46
1072000 340.803
1073000 359.094
1074000 349.791
1075000 258.368
1076000 265.179
1077000 268.144
1078000 280.677
1079000 271.437
1080000 272.184
1081000 268.951
1082000 276.285
1083000 269.161
1084000 268.264
1085000 279.048
1086000 271.807
1087000 259.115
1088000 274.014
1089000 279.491
1090000 265.577
1091000 266.894
1092000 271.779
1093000 263.825
1094000 265.253
1095000 282.094
1096000 271.944
1097000 286.529
1098000 268.796
1099000 266.012
1100000 259.859
1101000 270.049
1102000 247.306
1103000 266.212
1104000 251.914
1105000 263.554
1106000 254.624
1107000 280.367
1108000 294.016
1109000 293.949
1110000 303.17
1111000 293.776
1112000 301.429
1113000 276.436
1114000 290.713
1115000 288.242
1116000 290.545
1117000 296.065
