# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.622067  +0.0000
0.0526  -2397.568485  +0.0536
0.1053  -2397.432198  +0.1899
0.1579  -2397.307892  +0.3142
0.2105  -2397.195682  +0.4264
0.2632  -2397.142349  +0.4797
0.3158  -2397.134649  +0.4874
0.3684  -2397.181153  +0.4409
0.4211  -2397.342429  +0.2796
0.4737  -2397.492173  +0.1299
0.5263  -2397.696435  -0.0744
0.5789  -2397.914782  -0.2927
0.6316  -2398.126501  -0.5044
0.6842  -2398.245747  -0.6237
0.7368  -2398.286551  -0.6645
0.7895  -2398.224724  -0.6027
0.8421  -2398.406326  -0.7843
0.8947  -2398.474672  -0.8526
0.9474  -2398.766726  -1.1447
1.0000  -2398.810560  -1.1885
