T=600K Start: Tue Apr 28 09:26:42 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (17.559102 17.559102 17.559102)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  501 atoms
  read_data CPU = 0.016 seconds
/home/akinyemi.az/miniforge3/envs/mace-lammps/lib/python3.11/site-packages/e3nn/o3/_wigner.py:10: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  _Jd, _W3j_flat, _W3j_indices = torch.load(os.path.join(os.path.dirname(__file__), 'constants.pt'))
1 atoms in group H_atom
500 atoms in group metal
### Phase 1: Equilibration 250 ps at 600 K ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 89.56 | 89.56 | 89.56 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
         0   600           -2871.7085      38.778043     -2832.9305      8754.0423      5413.8588    
      1000   514.46426     -2830.3972      33.249862     -2797.1474      43172.88       5413.8588    
      2000   620.61127     -2838.1954      40.110151     -2798.0853      37919.024      5413.8588    
      3000   620.8211      -2834.9408      40.123713     -2794.8171      41126.296      5413.8588    
      4000   620.09629     -2831.9209      40.076868     -2791.844       43854.908      5413.8588    
      5000   616.01591     -2832.6258      39.813153     -2792.8126      42432.152      5413.8588    
      6000   579.51721     -2833.2594      37.45424      -2795.8051      41653.598      5413.8588    
      7000   611.3426      -2829.8601      39.511117     -2790.349       45196.386      5413.8588    
      8000   609.22855     -2830.7218      39.374485     -2791.3473      44819.996      5413.8588    
      9000   620.47732     -2832.8455      40.101494     -2792.744       43010.951      5413.8588    
     10000   582.90573     -2832.378       37.67324      -2794.7047      42744.913      5413.8588    
     11000   589.72328     -2832.8281      38.113859     -2794.7143      42983.712      5413.8588    
     12000   606.17932     -2831.8304      39.177413     -2792.653       43748.892      5413.8588    
     13000   576.51793     -2832.1205      37.260395     -2794.8601      42839.912      5413.8588    
     14000   574.57772     -2834.5638      37.135        -2797.4288      40781.18       5413.8588    
     15000   585.5671      -2833.8299      37.845244     -2795.9846      41505.833      5413.8588    
     16000   608.57876     -2832.0097      39.332489     -2792.6772      43497.309      5413.8588    
     17000   572.06798     -2833.1006      36.972795     -2796.1278      41725.809      5413.8588    
     18000   575.90967     -2832.3664      37.221084     -2795.1453      42628.99       5413.8588    
     19000   594.82267     -2831.3957      38.443433     -2792.9522      43836.451      5413.8588    
     20000   639.24341     -2833.729       41.314348     -2792.4146      41903.989      5413.8588    
     21000   593.08928     -2832.4459      38.331403     -2794.1145      42954.105      5413.8588    
     22000   620.29954     -2834.9547      40.090004     -2794.8647      40225.828      5413.8588    
     23000   565.21473     -2832.4125      36.529869     -2795.8826      42930.871      5413.8588    
     24000   603.76109     -2832.3288      39.021123     -2793.3077      42787.506      5413.8588    
     25000   617.17556     -2831.674       39.888101     -2791.7859      44037.713      5413.8588    
     26000   618.80486     -2835.2906      39.993403     -2795.2972      40473.578      5413.8588    
     27000   550.18431     -2831.2785      35.558452     -2795.7201      43597.136      5413.8588    
     28000   643.24314     -2832.292       41.572851     -2790.7191      43877.83       5413.8588    
