# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 7.898810237486666996e-02 1.069590738079999742e-01 6.098690459406108655e-01 1.300330742760272607e+00
1.000000000000000000e+00 7.998751263989324622e-02 1.150533676649766468e-01 8.374044728609985055e-01 1.859750930823202753e+00
1.500000000000000000e+00 8.058134520707609105e-02 1.108348163332442959e-01 1.030723681583695983e+00 2.276950188386278828e+00
2.000000000000000000e+00 8.038016111563126009e-02 1.144502176310621261e-01 1.230680431501542049e+00 2.710819454246411020e+00
2.500000000000000000e+00 8.011832603489303650e-02 1.184364369919117393e-01 1.402603247146704035e+00 3.151168760714691874e+00
3.000000000000000000e+00 8.080884302622071136e-02 1.247554097160534919e-01 1.540546962557835187e+00 3.578734153210817670e+00
3.500000000000000000e+00 8.070595961720214429e-02 1.294899316785809718e-01 1.639518011248818130e+00 4.039287815765560730e+00
4.000000000000000000e+00 7.974150933549899178e-02 1.328381453342263596e-01 1.774135035901407642e+00 4.485965904623062883e+00
4.500000000000000000e+00 7.809385180361930190e-02 1.338385656679624280e-01 1.826272646221790863e+00 4.822734467702143313e+00
5.000000000000000000e+00 8.082785666136821368e-02 1.380758796801475341e-01 1.934532691745644239e+00 5.200279138624051001e+00
5.500000000000000000e+00 7.958767329033555882e-02 1.460112891836912730e-01 2.019707833778468853e+00 5.559750218044023029e+00
6.000000000000000000e+00 7.952625388173270582e-02 1.479652621881128172e-01 2.109778143025847541e+00 5.964055010188793915e+00
6.500000000000000000e+00 7.980689475907257191e-02 1.531509085356854427e-01 2.199419271352756056e+00 6.334453379354514801e+00
7.000000000000000000e+00 8.204680415373233338e-02 1.529763254097511460e-01 2.321441450454029276e+00 6.678145884717051395e+00
7.500000000000000000e+00 8.096257065383578866e-02 1.578697565312247031e-01 2.447023244964939170e+00 7.027187104651945404e+00
8.000000000000000000e+00 8.081944029488213888e-02 1.632174057063299211e-01 2.544236858234813603e+00 7.385889881701802828e+00
8.500000000000000000e+00 7.800080631327492575e-02 1.705674667856468818e-01 2.631950891704155193e+00 7.820635986922540361e+00
9.000000000000000000e+00 8.096702466473364168e-02 1.734626698745110884e-01 2.710306412580124391e+00 8.213765865804054656e+00
9.500000000000000000e+00 7.945340756329283272e-02 1.738679047378542120e-01 2.786221537761642608e+00 8.574672624512187369e+00
1.000000000000000000e+01 8.179461157218097245e-02 1.806735601004050840e-01 2.867163457078229172e+00 8.915197340997952580e+00
1.050000000000000000e+01 8.001375076574322731e-02 1.848861522697297366e-01 2.959410118928759825e+00 9.294531538936446680e+00
1.100000000000000000e+01 8.177527933664635595e-02 1.889419834507099216e-01 3.055244591102614038e+00 9.622439249993433918e+00
1.150000000000000000e+01 7.877182765615697857e-02 1.918932053071718546e-01 3.171916474522984863e+00 9.959432190281150454e+00
1.200000000000000000e+01 7.967325405368989866e-02 1.945152312650643145e-01 3.257330758008538663e+00 1.033092922317148066e+01
1.250000000000000000e+01 7.966342593387532034e-02 1.990284829619918539e-01 3.347741570686590507e+00 1.064682198359689913e+01
1.300000000000000000e+01 7.979616077891524273e-02 2.061502438777626789e-01 3.451124409029953988e+00 1.100987415023136506e+01
1.350000000000000000e+01 8.242702592211667567e-02 2.106865858564450356e-01 3.553563870313110495e+00 1.132043972553119460e+01
1.400000000000000000e+01 8.067541288370672081e-02 2.144305905216564723e-01 3.644708558987428848e+00 1.163780949490115901e+01
1.450000000000000000e+01 7.975540116582878480e-02 2.192801183653532437e-01 3.722819962505162117e+00 1.195181721019818433e+01
1.500000000000000000e+01 8.136502292141398196e-02 2.207078124911624750e-01 3.798033598325934790e+00 1.226119485685577182e+01
1.550000000000000000e+01 8.125917168394557188e-02 2.253304444855101785e-01 3.869236767994714832e+00 1.258008422038845175e+01
1.600000000000000000e+01 8.005982874166098218e-02 2.308010868854322162e-01 3.971323783756689707e+00 1.292899709744536985e+01
1.650000000000000000e+01 8.079217640476839268e-02 2.332332991784741016e-01 4.075802888226383480e+00 1.327103008611240220e+01
1.700000000000000000e+01 8.206174845923652761e-02 2.373826955429447216e-01 4.164121555983586020e+00 1.363740780269604436e+01
1.750000000000000000e+01 8.165503205491131400e-02 2.437830579026602495e-01 4.282010865355426965e+00 1.395142666441958568e+01
1.800000000000000000e+01 8.060620447310579140e-02 2.467942175159044405e-01 4.402193375437120970e+00 1.430479472801529894e+01
1.850000000000000000e+01 8.267138794542348845e-02 2.530404817846994003e-01 4.505510820361576130e+00 1.462599174237392496e+01
1.900000000000000000e+01 7.980518180006834772e-02 2.579796621633629328e-01 4.600167164062514580e+00 1.491596697992677001e+01
1.950000000000000000e+01 8.297451692995895522e-02 2.579110546892612876e-01 4.713502840942205729e+00 1.524057672843458455e+01
2.000000000000000000e+01 8.084962445475697701e-02 2.654814421677617609e-01 4.824062432166687842e+00 1.559011194081429430e+01
2.050000000000000000e+01 8.007540263917807544e-02 2.704560321502740283e-01 4.953840914694839448e+00 1.596722989918787405e+01
2.100000000000000000e+01 7.991400760815625670e-02 2.719407993519533107e-01 5.094351896779851785e+00 1.625856704663722851e+01
2.150000000000000000e+01 8.205614820020575018e-02 2.721905161296982456e-01 5.170952520040556166e+00 1.657130532401598444e+01
2.200000000000000000e+01 8.260551104344543427e-02 2.815522463514069651e-01 5.270499335542509378e+00 1.686963152884494122e+01
2.250000000000000000e+01 8.076402682108517472e-02 2.842805418625000136e-01 5.354851182686176436e+00 1.725352081010455407e+01
2.300000000000000000e+01 8.180173146295531550e-02 2.923670914384192687e-01 5.491783166621274859e+00 1.764028281584785063e+01
2.350000000000000000e+01 8.196794582806050944e-02 2.937122907222145529e-01 5.612340829781172324e+00 1.793306553666629100e+01
2.400000000000000000e+01 7.961389575037851329e-02 2.994521651786647976e-01 5.731565638957759390e+00 1.828037437732037063e+01
2.450000000000000000e+01 8.176921408161155758e-02 3.072330188184572708e-01 5.830082745219694829e+00 1.864299230513665506e+01
2.500000000000000000e+01 8.171832136188833529e-02 3.102983793640936572e-01 5.932692405995076967e+00 1.897668508086129080e+01
2.550000000000000000e+01 7.816802612758620705e-02 3.141560729346206671e-01 6.015245217772227093e+00 1.934898372267789313e+01
2.600000000000000000e+01 8.221061728881988440e-02 3.175492804975845185e-01 6.124164357829299021e+00 1.965037349274618705e+01
2.650000000000000000e+01 8.181548101049720967e-02 3.230351490599447373e-01 6.230669207492864459e+00 1.993038650224113439e+01
2.700000000000000000e+01 8.120885773282653097e-02 3.285664122156185529e-01 6.319929234459539025e+00 2.036872102594087863e+01
2.750000000000000000e+01 8.108567045518672023e-02 3.351134454217150060e-01 6.377214364712652461e+00 2.078043429438510259e+01
2.800000000000000000e+01 8.407823456782007043e-02 3.348218660984082495e-01 6.457182940336857691e+00 2.108337298037796970e+01
2.850000000000000000e+01 7.999986819335179467e-02 3.424784643298475761e-01 6.549607897498113118e+00 2.151977292644632200e+01
2.900000000000000000e+01 8.204977637027026371e-02 3.489997795908523770e-01 6.659781855011611462e+00 2.184024050978079856e+01
2.950000000000000000e+01 8.047937993085990671e-02 3.517987771848820611e-01 6.781098326928292508e+00 2.212889947615675723e+01
3.000000000000000000e+01 8.063313873879250637e-02 3.557636967376127668e-01 6.906627576274723346e+00 2.250606672644245521e+01
3.050000000000000000e+01 8.072717707937497600e-02 3.596736506011805057e-01 7.051312816865105582e+00 2.282314901922862660e+01
3.100000000000000000e+01 8.071951784690754861e-02 3.615719578563585390e-01 7.168891998351795358e+00 2.315301999939859456e+01
3.150000000000000000e+01 7.976951680159945213e-02 3.714606466462447854e-01 7.256701238455604219e+00 2.349164744917984038e+01
3.200000000000000000e+01 8.243111885233123104e-02 3.782993302469032093e-01 7.382553813241808705e+00 2.390193735606071002e+01
3.250000000000000000e+01 8.338635274442894596e-02 3.793681583549443070e-01 7.493292348109656942e+00 2.426573205586705129e+01
3.300000000000000000e+01 7.938470794271776376e-02 3.853367221625086936e-01 7.601597672778607873e+00 2.463008100698818126e+01
3.350000000000000000e+01 8.205500997517432837e-02 3.904798465714783839e-01 7.689519495896557366e+00 2.505278510331937980e+01
3.400000000000000000e+01 8.269442168946267158e-02 3.924687498143754616e-01 7.791418636832499800e+00 2.539858028035835957e+01
3.450000000000000000e+01 8.132694879727651871e-02 3.976518805625000041e-01 7.905919003560452296e+00 2.578268595571898913e+01
3.500000000000000000e+01 8.105711087903562373e-02 4.047757003411600052e-01 8.025025564460280592e+00 2.608826076575080677e+01
3.550000000000000000e+01 7.685210867384614786e-02 4.086394256398601654e-01 8.163579559534870356e+00 2.644973370106355404e+01
