# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.812253  +0.0506
0.1053  -2397.674020  +0.1889
0.1579  -2397.591460  +0.2714
0.2105  -2397.550669  +0.3122
0.2632  -2397.514875  +0.3480
0.3158  -2397.486070  +0.3768
0.3684  -2397.467042  +0.3958
0.4211  -2397.459692  +0.4032
0.4737  -2397.458666  +0.4042
0.5263  -2397.461986  +0.4009
0.5789  -2397.468195  +0.3947
0.6316  -2397.474070  +0.3888
0.6842  -2397.482223  +0.3807
0.7368  -2397.539448  +0.3234
0.7895  -2397.627608  +0.2353
0.8421  -2397.692050  +0.1708
0.8947  -2397.720471  +0.1424
0.9474  -2398.501064  -0.6382
1.0000  -2398.504056  -0.6412
