# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 6.655508950366667564e-02 1.092376181420666448e-01 8.857757897022797700e-01 1.601923374741906603e+00
1.000000000000000000e+00 6.769848381287525696e-02 1.057528052622414977e-01 1.125169998013578532e+00 2.418757503330472680e+00
1.500000000000000000e+00 6.879945667603470927e-02 1.076033233018691693e-01 1.285818830980449246e+00 3.160898370905997012e+00
2.000000000000000000e+00 6.844766911008685895e-02 1.092744245687375104e-01 1.447924324548909736e+00 3.856084137989089111e+00
2.500000000000000000e+00 6.833152266430483901e-02 1.068037896991310270e-01 1.553602069369535599e+00 4.473512724473140523e+00
3.000000000000000000e+00 6.632004089190636498e-02 1.081224569118394846e-01 1.726511905530662361e+00 5.112235239869516334e+00
3.500000000000000000e+00 6.673249060234270891e-02 1.091818366457831396e-01 1.815908438501738775e+00 5.675140552015261797e+00
4.000000000000000000e+00 6.848166645726726232e-02 1.078669486789685106e-01 1.880795430843557714e+00 6.207067041812075914e+00
4.500000000000000000e+00 6.737688985797588015e-02 1.074032173341152863e-01 2.001807323287936757e+00 6.748683722626276804e+00
5.000000000000000000e+00 6.566955121341382096e-02 1.044064712329309391e-01 2.025812827893992196e+00 7.344880208204451755e+00
5.500000000000000000e+00 6.702658819617450525e-02 1.082959437114765222e-01 2.068016436464313657e+00 7.900563367183607077e+00
6.000000000000000000e+00 6.632341228462057536e-02 1.084105016100738866e-01 2.169038118147481597e+00 8.464111644049657102e+00
6.500000000000000000e+00 6.833786849153226928e-02 1.077503216518145290e-01 2.198413900063786119e+00 8.964452811763001350e+00
7.000000000000000000e+00 6.742378009670477179e-02 1.090201626712172245e-01 2.304376194208358708e+00 9.528974889921194347e+00
7.500000000000000000e+00 6.789187675592193993e-02 1.105387351137954305e-01 2.344390485644715749e+00 1.000683013220813677e+01
8.000000000000000000e+00 6.732651902040405478e-02 1.116075256985185060e-01 2.385627233861840502e+00 1.046477455974106263e+01
8.500000000000000000e+00 6.695077624993263365e-02 1.108026888502021690e-01 2.456499922748569986e+00 1.098189343039841681e+01
9.000000000000000000e+00 6.823122790148350436e-02 1.077519433844234542e-01 2.511114664127441998e+00 1.141646562398120324e+01
