# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.137089  +0.0640
0.1053  -2398.092175  +0.1089
0.1579  -2398.021776  +0.1793
0.2105  -2398.046863  +0.1542
0.2632  -2398.032093  +0.1690
0.3158  -2398.013586  +0.1875
0.3684  -2397.990488  +0.2106
0.4211  -2397.961061  +0.2400
0.4737  -2397.922904  +0.2782
0.5263  -2397.874675  +0.3264
0.5789  -2397.832230  +0.3689
0.6316  -2397.817215  +0.3839
0.6842  -2397.822272  +0.3788
0.7368  -2397.837329  +0.3638
0.7895  -2397.857643  +0.3435
0.8421  -2397.874906  +0.3262
0.8947  -2397.991866  +0.2092
0.9474  -2398.636958  -0.4359
1.0000  -2399.095515  -0.8944
