# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  MSD_1000K MSD_1200K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K MSD_1000K MSD_1200K
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 7.110103783693333401e-02 9.794661067646663610e-02 2.101124453133333680e-01 7.697416699543974117e-01 2.428544736543504001e+00 4.892028704561584007e+00
1.000000000000000000e+00 7.348049370980654083e-02 1.057767128871914541e-01 2.696258044516344765e-01 1.271241525442494247e+00 4.561610152163087406e+00 9.603166197071461241e+00
1.500000000000000000e+00 7.314030060727635951e-02 1.048252768445260275e-01 3.103070979210948432e-01 1.754674813320363569e+00 6.740498844861471994e+00 1.405686011504707977e+01
2.000000000000000000e+00 7.084456542084169306e-02 1.073967980531062016e-01 3.535571094981964646e-01 2.246545786679225554e+00 8.973540587019632753e+00 1.852557012584454554e+01
2.500000000000000000e+00 7.146080768389037607e-02 1.074592185274732548e-01 4.080516931875668996e-01 2.727871967308648227e+00 1.112850147072665052e+01 2.303514399057693041e+01
3.000000000000000000e+00 7.184031897806021638e-02 1.043474117893645470e-01 4.491022547591305147e-01 3.184770378046079209e+00 1.327727081358336392e+01 2.731675228570270875e+01
3.500000000000000000e+00 7.194702407469880101e-02 1.001906466054886258e-01 4.953105020874832842e-01 3.673869439527984060e+00 1.547167177770794488e+01 3.143244548742706002e+01
4.000000000000000000e+00 7.462603875217682647e-02 1.031688564225050342e-01 5.443494992900201890e-01 4.131856776109612106e+00 1.775687381911658491e+01 3.560655632256987246e+01
4.500000000000000000e+00 7.318226930998658619e-02 1.041126164593163400e-01 6.027629474934986797e-01 4.587607116342581115e+00 1.996418497499546163e+01 3.962486526436345713e+01
5.000000000000000000e+00 7.105899934245472893e-02 1.034135855087860434e-01 6.540368563826290949e-01 5.065549958184574209e+00 2.208608325904435432e+01 4.360763773228318740e+01
5.500000000000000000e+00 7.311414557953020699e-02 1.058821775957718148e-01 7.034771288636242348e-01 5.558312035357616310e+00 2.417675211234586641e+01 4.767458397587798657e+01
6.000000000000000000e+00 7.375803556655474713e-02 1.006833879914036389e-01 7.440362553368031762e-01 6.021043705197739904e+00 2.616784239577178894e+01 5.185570081288462774e+01
6.500000000000000000e+00 7.223570949059139601e-02 1.041842106190188078e-01 7.978174681442876670e-01 6.477208613187538155e+00 2.814142693614725488e+01 5.583465826142746380e+01
7.000000000000000000e+00 7.074341416065904609e-02 1.022141700474109016e-01 8.427947116140552808e-01 6.915847591185092291e+00 3.020594961260801625e+01 5.977824614428190841e+01
7.500000000000000000e+00 7.384003590787349691e-02 1.016950185974427878e-01 8.981272655020188234e-01 7.364490690226954683e+00 3.238811021940151846e+01 6.362398462884250705e+01
8.000000000000000000e+00 7.227404842478114821e-02 1.028364123606060748e-01 9.461298178946128123e-01 7.818851425689758550e+00 3.453304576794072744e+01 6.748580077356338336e+01
8.500000000000000000e+00 7.193954914171157844e-02 1.025457065956873332e-01 9.910637123087602252e-01 8.295111348318988220e+00 3.682664695639320485e+01 7.134914978236824368e+01
9.000000000000000000e+00 7.384110130863115462e-02 1.023929424430209262e-01 1.034067581139851644e+00 8.752540019592244036e+00 3.904748281022370548e+01 7.509852729756046585e+01
9.500000000000000000e+00 7.161768276086370733e-02 1.065240033390688207e-01 1.087566873689608693e+00 9.209636690189459074e+00 4.124996906820592102e+01 7.869385856879259222e+01
1.000000000000000000e+01 7.217079484213370644e-02 1.017273136579338322e-01 1.135929690657393687e+00 9.659766192511714422e+00 4.354475497120749594e+01 8.227953426032414086e+01
1.050000000000000000e+01 7.355510596844595794e-02 1.033695777328378362e-01 1.183813199436148711e+00 1.014319833160342199e+01 4.597549699275735691e+01 8.593558119858673194e+01
